,children,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,comp_primary,lum,HE,NEP,CE,CN,CJ,HN,HSE,JUP,SE,WJ,WN,WSE,I,II,III,IV,V,VI,...,:,+,0,1,2,3,4,5,6,7,8,9,A,B,C,E,F,G,K,N,M,RD,S,W,O,D,n,e
733,1.0,2.150905,-16.648487,1.0,-11.37,-5.31,0.0,8.67,3.0010000000000003,0.441,110.22503200000001,69.58334599999999,-38.979484,3.15e-06,-6.88e-06,-3.36e-06,0.5631057126709896,-0.2905709192565525,-5.5123315479166665e-08,-2.5743606e-08,10003.0,5.490349610252035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
734,2.0,2.252669,0.7201649999999999,4.0,8.72,-12.4,0.0,6.76,0.665,0.122,137.58535700000002,92.070696,2.080948,-3.79e-06,5.89e-06,-9.95e-06,0.5897472439128383,0.01256925697716,4.227575294444445e-08,-6.0116896e-08,10458.0,47.20630412635904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,4.0,2.452011,27.012395,5.0,-28.45,-75.2,-48.0,6.14,0.081,1.4609999999999999,116.21513300000001,86.87726500000001,73.97099399999999,2e-08,-2.803e-05,-7.519e-05,0.641934951116944,0.4714552289259888,-1.3792949211805556e-07,-3.64579887e-07,11388.0,80.83510373900674,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
736,2.0,2.531494,57.697644,4.0,0.65,0.13,-45.0,7.03,-12.97,0.6890000000000001,42126.118768,32879.86983,84523.985926,-0.00025525,0.00020049,-5.22e-06,0.6627434665737779,1.0070138635147488,3.1512889236111107e-09,6.302569999999999e-10,11741.0,13427649.611378642,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,1.0,2.6224830000000003,-33.649188,4.0,5.49,20.17,0.0,8.81,0.122,1.256,351.823606,288.346417,-302.79039,1.368e-05,3.002e-05,4.448e-05,0.6865644188923719,-0.5872891193644588,2.66162710625e-08,9.7786919e-08,12187.0,77.83949326267259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
738,2.0,2.6242419999999997,-46.646233,4.0,38.83,1.91,0.0,7.81,2.572,0.298,59.236422999999995,48.594479,-81.152743,-1.274e-05,1.672e-05,7.1e-07,0.6870249322150814,-0.8141303449755162,1.8825315215972218e-07,9.259941e-09,12197.0,8.150795556116012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,1.0,2.649623,-2.587344,6.0,32.04,-181.12,0.0,9.17,5.6610000000000005,0.805,38.657307,32.144489,-2.271882,-6.53e-06,4.74e-06,-4.414e-05,0.6936696941751535,-0.0451576693272075,1.5533430325e-07,-8.78094538e-07,12315.0,0.4738053933388253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
740,2.0,2.744409,-1.961825,8.0,-13.99,-3.54,0.0,8.53,0.622,0.413,287.161428,251.091122,-13.066266,1.687e-05,-1.963e-05,-6.55e-06,0.7184844905274533,-0.034240307171034996,-6.782543390972222e-08,-1.7162403999999998e-08,12779.0,49.113399964699795,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
741,1.0,2.885783,50.417473,6.0,-20.21,-0.22,0.0,9.21,1.7080000000000002,0.431,146.78167,138.255821,243.894812,2.145e-05,-2.239e-05,-2.2e-07,0.7554962436676077,0.8799509056673375,-9.798084484027778e-08,-1.06659e-09,13409.0,18.063420831699762,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
742,7.0,3.090747,25.255174,10.0,3.99,-10.1,9.0,5.45,-0.6409999999999999,-0.031,103.164817,108.18696299999999,70.520783,5.81e-06,1.073e-05,-3.39e-06,0.8091557012605762,0.4407859475459162,1.9344065854166667e-08,-4.8966181e-08,14340.0,157.18098282039188,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
