243,GJ 338 B,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('GJ 338 B'),M0.0V,,M,0,V,4005.0 K,0.58 R_s,,0.64 M_s,-0.03,"['HD 79211', 'HIP 120005', 'Gaia DR2 1022456104850892928', 'TYC 3806-1819-1']",10.36,9.11,4.043,NaN,4.779,4.136,7.7,3.91,3.91,,6.33 pc,NaN,138d36m10.245s,52d41m10.9061s,System('GJ 338 B'),[Planet('GJ 338 B b')],[]
1027,K2-122,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('K2-122'),M0,,M,0,V,4027.0 K,0.6 R_s,,0.62 M_s,0.06,['Gaia DR2 663843343706623232'],15.81,14.56,9.457,NaN,10.104,9.275,13.15,9.36,9.36,,72.19 pc,NaN,126d28m34.746s,20d21m34.4484s,System('K2-122'),[Planet('K2-122 b')],[]
167,EPIC 206011691,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('EPIC 206011691'),M0V,1.0 Gyr,M,0,V,4043.0 K,0.6 R_s,,0.64 M_s,-0.11,"['K2-21', '2MASS J22411288-1429202', 'Gaia DR2 2596888100773300224']",15.51,14.14,9.63,NaN,10.25,9.42,12.85,9.06,9.06,,65.0 pc,NaN,340d18m13.2915s,-14d29m20.349s,System('EPIC 206011691'),"[Planet('EPIC 206011691 b'), Planet('EPIC 206011691 c')]",[]
1048,K2-152,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('K2-152'),M0.0V,,M,0,V,4044.0 K,0.61 R_s,,0.63 M_s,0.12,['Gaia DR2 3596508242468505216'],16.388,15.138,10.277,NaN,10.956,10.096,13.728,9.938,9.938,,108.7 pc,NaN,181d37m58.1145s,-5d49m38.6817s,System('K2-152'),[Planet('K2-152 b')],[]
773,HD 24064,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HD 24064'),K0,,K,0,III,4052.5 K,38.0 R_s,,1.0 M_s,-0.49,"['HIP 18451', 'TYC 4339-2274-1', 'BD+73 204', 'PPM 5424', '2MASS J03563629+7404482', 'Gaia DR2 549832131164952832']",7.99,8.23,3.432,NaN,4.317,3.13,6.72,4.7,4.77,,264.4 pc,NaN,59d09m04.4475s,74d04m48.1238s,System('HD 24064'),[Planet('HD 24064 b')],[]
570,HD 147379,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HD 147379'),M0.0V,,M,0,V,4090.0 K,0.57 R_s,,0.58 M_s,0.16,"['Gliese 617 A', 'Gl 617 A', 'GJ 617 A', 'HIP 79755', 'TYC 4195-721-1', 'BD+67 935', '2MASS J16164280+6714196', 'SAO 17026', 'WDS J16167+6714 A']",11.556,10.01,5.136,7.1,5.779,4.953,8.896,5.106,5.106,,10.735 pc,NaN,NaN,NaN,Binary('Gliese 617'),[Planet('HD 147379 b')],[]
1050,K2-154,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('K2-154'),M0.0V,,M,0,V,4097.0 K,0.63 R_s,,0.65 M_s,0.21,['Gaia DR2 3683121446312149504'],16.693,15.443,10.519,NaN,11.219,10.368,14.033,10.243,10.243,,129.8 pc,NaN,189d00m05.4495s,-2d40m10.1022s,System('K2-154'),"[Planet('K2-154 b'), Planet('K2-154 c')]",[]
490,HD 112640,Flags(),System('HD 112640'),K0III,,K,0,III,4155.0 K,39.0 R_s,,1.8 M_s,-0.09,"['HIP 63203', 'Gaia DR2 1679187115856566528', 'TYC 4168-694-1']",,,,,,,6.5,,,,326.8 pc,NaN,194d14m30.24s,67d14m34.3071s,System('HD 112640'),[Planet('HD 112640 b')],[]
946,HD 95127,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HD 95127'),K0,5.5 Gyr,K,0,V,4218.0 K,20.0 R_s,,1.2 M_s,-0.18,"['HIP 53733', 'BD+44 2038', 'GSC 03011-00791', 'TYC 3011-791-1', '2MASS J10593509+4348520', 'Gaia DR2 781641961487762816']",9.42,9.43,5.215,NaN,5.855,5.022,8.15,6.13,6.2,,327.0 pc,NaN,164d53m46.3s,43d48m52.0823s,System('HD 95127'),[Planet('HD 95127 b')],[]
3302,V830 Tau,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('V830 Tau'),M0–1,0.0022 Gyr,M,0,V,4250.0 K,2.0 R_s,,1.0 M_s,NaN,"['V830 Tauri', '2MASS J04331003+2433433', 'GSC 01833-00843', '1SWASP J043310.02+243343.7', 'Gaia DR2 147831571737487488', 'WK X-Ray 2', 'WK X-2']",14.74,13.91,8.613,NaN,9.325,8.422,12.08,8.29,8.29,,131.0 pc,NaN,68d17m30.4485s,24d33m43.2558s,System('V830 Tau'),[Planet('V830 Tau b')],[]
223,Gamma-1 Leonis,Flags(),System('Gamma Leonis'),K0III,,K,0,III,4330.0 K,31.88 R_s,,1.23 M_s,-0.51,"['gamma 1 Leo', 'gam01 Leo', 'γ1 Leo', 'γ1 Leonis', 'γ Leo A', 'Gamma Leonis A', 'gamma Leo A', 'gam Leo A', 'Algieba A', 'Al Gieba A', 'HD 89484', 'HIP 50583 A', 'TYC 1423-1349-1', 'SAO 81298', 'BD+20 2467 A', 'WDS J10200+1950 A', 'STF 1424 A']",,3.13,,,,,2.01,,,,38.5 pc,NaN,NaN,NaN,Binary('Gamma Leonis'),[Planet('Gamma Leonis b')],[]
232,GJ 160.2,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('GJ 160.2'),M0V,,M,0,V,4347.0 K,,,0.69 M_s,NaN,"['HIP 19165', 'TYC 5889-644-1', 'Gaia DR2 5091077112523802112', 'GJ 9144']",12.34,10.904,6.854,8.3,7.439,6.702,9.68,5.89,5.89,,25.88 pc,NaN,61d38m42.621s,-20d51m11.2259s,System('GJ 160.2'),[Planet('GJ 160.2 b')],[]
871,HD 60292,Flags(),System('HD 60292'),K0III,,K,0,III,4348.0 K,27.0 R_s,,1.7 M_s,-0.17,"['HIP 37196', 'Gaia DR2 1095822117729707264', 'TYC 4124-812-1']",,,,,,,6.9,,,,318.5 pc,NaN,114d37m12.393s,66d14m06.5996s,System('HD 60292'),[Planet('HD 60292 b')],[]
