,right_ascension,altnames,list,declination,distance,child_stars_binaries,epoch,name,all_children,flags
436,197d39m57.36s,,,-35d03m17.2147s,28.04 pc,[Star('HD 114386')],,HD 114386,[Star('HD 114386')],Flags()
437,198d00m47.7753s,,,-37d48m10.8901s,20.67 pc,[Star('HD 114613')],,HD 114613,[Star('HD 114613')],Flags()
438,198d11m00s,,,-31d52m24s,35.0 pc,[Binary('HD 114729')],,HD 114729,[Binary('HD 114729')],Flags()
439,198d04m45s,,,17d31m01s,39.46 pc,[Binary('HD 114762')],,HD 114762,[Binary('HD 114762')],Flags()
440,198d10m56.7834s,,,-2d15m54.1335s,20.5 pc,[Star('HD 114783')],,HD 114783,[Star('HD 114783')],Flags()
441,28d12m38.0175s,,,-19d30m25.1107s,51.7 pc,[Star('HD 11506')],,HD 11506,[Star('HD 11506')],Flags()
442,200d09m53.13s,,,24d38m55.3099s,122.4 pc,[Star('HD 116029')],,HD 116029,[Star('HD 116029')],Flags()
443,202d20m16.7085s,,,-35d34m15.5929s,33.05 pc,[Star('HD 117207')],,HD 117207,[Star('HD 117207')],Flags()
444,29d42m31.299s,,,73d09m08.5841s,231.5 pc,[Star('HD 11755')],,HD 11755,[Star('HD 11755')],Flags()
445,203d06m23.3325s,,,-47d16m16.9133s,38.0 pc,[Star('HD 117618')],,HD 117618,[Star('HD 117618')],Flags()
446,203d30m38.091s,,,53d43m42.6983s,88.6 pc,[Star('HD 118203')],,HD 118203,[Star('HD 118203')],Flags()
447,29d17m24.1144s,,,-10d14m32.7336s,32.85 pc,[Binary('HD 11964')],,HD 11964,[Binary('HD 11964')],Flags()
448,28d44m01.98s,,,-67d38m50.2946s,66.5 pc,[Star('HD 11977')],,HD 11977,[Star('HD 11977')],Flags()
449,205d39m48.0375s,,,78d03m51.9792s,98.0 pc,[Star('HD 120084')],,HD 120084,[Star('HD 120084')],Flags()
450,209d19m18.576s,,,-56d02m24.1563s,44.37 pc,[Star('HD 121504')],,HD 121504,[Star('HD 121504')],Flags()
451,210d35m41.7255s,,,-27d25m47.1992s,135.0 pc,[Star('HD 122430')],,HD 122430,[Star('HD 122430')],Flags()
452,210d35m17.4525s,,,20d52m52.7441s,53.02 pc,[Star('HD 122562')],,HD 122562,[Star('HD 122562')],Flags()
453,30d36m40.956s,,,2d48m57.0757s,48.7 pc,[Star('HD 12484')],,HD 12484,[Star('HD 12484')],Flags()
454,214d32m19.773s,,,38d58m01.1355s,154.33 pc,[Star('HD 125390')],,HD 125390,[Star('HD 125390')],Flags()
455,215d20m47.787s,,,-40d23m38.2174s,27.4 pc,[Star('HD 125595')],,HD 125595,[Star('HD 125595')],Flags()
456,215d13m22.764s,,,-17d28m53.4888s,52.82 pc,[Star('HD 125612')],,HD 125612,[Star('HD 125612')],Flags()
457,34d44m55.074s,,,85d44m10.1731s,158.4 pc,[Star('HD 12648')],,HD 12648,[Star('HD 12648')],Flags()
458,216d53m14.577s,,,-51d55m59.1075s,38.1 pc,[Star('HD 126525')],,HD 126525,[Star('HD 126525')],Flags()
459,216d42m04.2105s,,,-5d10m40.0074s,72.6 pc,[Binary('HD 126614 AC')],,HD 126614,[Binary('HD 126614 AC')],Flags()
460,31d08m34.3245s,,,25d24m51.5142s,37.89 pc,[Star('HD 12661')],,HD 12661,[Star('HD 12661')],Flags()
461,219d00m08.4105s,,,9d44m47.4536s,16.6 pc,[Star('HD 128311')],,HD 128311,[Star('HD 128311')],Flags()
462,219d16m13.3215s,,,-25d48m09.2583s,26.03 pc,[Star('HD 128356')],,HD 128356,[Star('HD 128356')],Flags()
463,221d30m45.9735s,,,-68d45m45.8766s,67.61 pc,[Star('HD 129445')],,HD 129445,[Star('HD 129445')],Flags()
464,221d53m10.8975s,,,-0d16m53.3059s,30.0 pc,[Star('HD 130322')],,HD 130322,[Star('HD 130322')],Flags()
465,223d36m19.6378s,,,-34d08m34.0412s,98.0 pc,[Binary('HD 131399')],,HD 131399,[Binary('HD 131399')],Flags()
466,223d20m45.4245s,,,18d14m07.4713s,110.0 pc,[Star('HD 131496')],,HD 131496,[Star('HD 131496')],Flags()
467,225d01m31.1985s,,,-73d32m07.2264s,55.43 pc,[Star('HD 131664')],,HD 131664,[Star('HD 131664')],Flags()
468,32d03m26.739s,,,-24d41m43.4789s,149.57 pc,[Star('HD 13167')],,HD 13167,[Star('HD 13167')],Flags()
469,32d25m02.5815s,,,32d18m59.1607s,185.0 pc,[Star('HD 13189')],,HD 13189,[Star('HD 13189')],Flags()
470,224d13m39.7665s,,,53d22m55.8073s,71.0 pc,[Star('HD 132406')],,HD 132406,[Star('HD 132406')],Flags()
471,224d35m22.785s,,,44d02m35.33s,96.0 pc,[Binary('HD 132563')],,HD 132563,[Binary('HD 132563')],Flags()
472,225d53m51.6s,,,-27d50m33.18s,47.0 pc,[Binary('HD 133131')],,HD 133131,[Binary('HD 133131')],Flags()
473,227d41m11.1435s,,,-61d25m20.3615s,24.2 pc,[Star('HD 134060')],,HD 134060,[Star('HD 134060')],Flags()
474,228d48m45.663s,,,-70d31m10.6439s,26.5 pc,[Star('HD 134606')],,HD 134606,[Star('HD 134606')],Flags()
475,228d22m10.0065s,,,-25d18m33.6546s,22.2 pc,[Star('HD 134987')],,HD 134987,[Star('HD 134987')],Flags()
476,230d27m02.2665s,,,-48d19m03.4624s,14.8 pc,[Star('HD 136352')],,HD 136352,[Star('HD 136352')],Flags()
477,229d46m32.733s,,,41d44m00s,98.2 pc,[Star('HD 136418')],,HD 136418,[Star('HD 136418')],Flags()
478,33d05m10.1595s,,,-46d48m58.9566s,43.52 pc,[Star('HD 13724')],,HD 13724,[Star('HD 13724')],Flags()
479,233d54m58.8105s,,,-80d12m16.5384s,38.0 pc,[Star('HD 137388')],,HD 137388,[Star('HD 137388')],Flags()
480,33d10m43.8825s,,,-53d44m38.0126s,28.6 pc,[Star('HD 13808')],,HD 13808,[Star('HD 13808')],Flags()
481,34d33m38.4084s,,,65d35m39.6988s,71.3 pc,[Star('HD 13908')],,HD 13908,[Star('HD 13908')],Flags()
482,34d11m50.685s,,,43d46m22.7896s,46.75 pc,[Star('HD 13931')],,HD 13931,[Star('HD 13931')],Flags()
483,233d49m02.9829s,,,53d55m29.7129s,118.2 pc,[Star('HD 139357')],,HD 139357,[Star('HD 139357')],Flags()
484,4d26m47.283s,,,-66d21m32.0641s,79.75 pc,[Star('HD 1397')],,HD 1397,[Star('HD 1397')],Flags()
485,34d17m36.5955s,,,23d46m04.192s,142.6 pc,[Star('HD 14067')],,HD 14067,[Star('HD 14067')],Flags()
486,236d43m27.1995s,,,46d59m10.5407s,37.38 pc,[Star('HD 141399')],,HD 141399,[Star('HD 141399')],Flags()
487,238d04m23.2215s,,,-18d26m09.7938s,33.46 pc,[Star('HD 141937')],,HD 141937,[Star('HD 141937')],Flags()
488,242d33m45s,,,-84d13m53s,35.87 pc,[Binary('HD 142022')],,HD 142022,[Binary('HD 142022')],Flags()
489,238d14m04.203s,,,15d25m50.5399s,109.0 pc,[Star('HD 142245')],,HD 142245,[Star('HD 142245')],Flags()
490,239d25m11.877s,,,-60d12m00.9227s,34.2 pc,[Star('HD 142415')],,HD 142415,[Star('HD 142415')],Flags()
491,1d34m45s,,,-49d04m30s,20.6 pc,[Binary('HD 142')],,HD 142,[Binary('HD 142')],Flags()
492,238d24m08.3775s,,,68d43m12.4116s,49.95 pc,[Star('HD 143105')],,HD 143105,[Star('HD 143105')],Flags()
493,240d27m35.223s,,,-44d26m04.3435s,59.35 pc,[Star('HD 143361')],,HD 143361,[Star('HD 143361')],Flags()
494,242d54m06.6814s,,,-27d04m41.4286s,55.0 pc,[Star('HD 145377')],,HD 145377,[Star('HD 145377')],Flags()
495,242d30m58.7145s,,,26d44m33.8937s,126.0 pc,[Star('HD 145457')],,HD 145457,[Star('HD 145457')],Flags()
496,243d17m28.2645s,,,13d14m22.0524s,229.4 pc,[Star('HD 145934')],,HD 145934,[Star('HD 145934')],Flags()
497,4d40m28.0086s,,,-8d03m10.8024s,23.25 pc,[Star('HD 1461')],,HD 1461,[Star('HD 1461')],Flags()
498,245d45m02.205s,,,-61d41m19.5628s,42.96 pc,[Star('HD 147018')],,HD 147018,[Star('HD 147018')],Flags()
499,244d10m41.193s,,,67d14m19.832s,10.735 pc,[Binary('Gliese 617')],,HD 147379,[Binary('Gliese 617')],Flags()
500,246d00m15s,,,-39d11m34s,12.9 pc,[Binary('HD 147513')],,HD 147513,[Binary('HD 147513')],Flags()
501,246d26m17.3175s,,,-33d32m47s,104.93 pc,[Star('HD 147873')],,HD 147873,[Star('HD 147873')],Flags()
502,35d48m30.81s,,,10d50m12.2866s,119.54 pc,[Star('HD 14787')],,HD 14787,[Star('HD 14787')],Flags()
503,247d04m19.269s,,,-46d19m03.4633s,53.05 pc,[Star('HD 148156')],,HD 148156,[Star('HD 148156')],Flags()
504,246d26m08.0055s,,,11d55m08.6382s,77.37 pc,[Star('HD 148164')],,HD 148164,[Star('HD 148164')],Flags()
505,246d27m06.237s,,,30d15m54.4568s,121.61 pc,[Star('HD 148284')],,HD 148284,[Star('HD 148284')],Flags()
506,247d07m02.2635s,,,-13d23m58.6879s,59.3 pc,[Star('HD 148427')],,HD 148427,[Star('HD 148427')],Flags()
507,247d37m24.276s,,,38d20m50.3108s,78.9 pc,[Star('HD 149026')],,HD 149026,[Star('HD 149026')],Flags()
508,248d12m45.762s,,,2d05m05.3814s,63.0 pc,[Star('HD 149143')],,HD 149143,[Star('HD 149143')],Flags()
509,4d49m15.9945s,,,14d03m17.1213s,159.0 pc,[Star('HD 1502')],,HD 1502,[Star('HD 1502')],Flags()
510,250d17m03.2205s,,,-2d51m26.2022s,29.6 pc,[Star('HD 150433')],,HD 150433,[Star('HD 150433')],Flags()
511,247d49m23.7495s,,,79d47m23.1994s,27.2 pc,[Star('HD 150706')],,HD 150706,[Star('HD 150706')],Flags()
512,253d22m26.04s,,,-46d19m58.6404s,85.17 pc,[Star('HD 152079')],,HD 152079,[Star('HD 152079')],Flags()
513,253d25m53.7375s,,,11d58m25.4919s,186.0 pc,[Star('HD 152581')],,HD 152581,[Star('HD 152581')],Flags()
514,36d52m05.6715s,,,-27d38m06.7417s,44.87 pc,[Star('HD 15337')],,HD 15337,[Star('HD 15337')],Flags()
515,256d07m43.0484s,,,-43d18m35.1765s,49.5 pc,[Star('HD 153950')],,HD 153950,[Star('HD 153950')],Flags()
516,256d06m57.648s,,,-28d34m57.6397s,17.8 pc,[Star('HD 154088')],,HD 154088,[Star('HD 154088')],Flags()
517,255d39m06.0555s,,,47d04m54.7626s,18.262 pc,[Star('HD 154345')],,HD 154345,[Star('HD 154345')],Flags()
518,257d31m13.656s,,,-56d26m57.3732s,65.8 pc,[Star('HD 154672')],,HD 154672,[Star('HD 154672')],Flags()
519,257d48m55.8255s,,,-56d40m50.8706s,64.2 pc,[Star('HD 154857')],,HD 154857,[Star('HD 154857')],Flags()
520,257d46m05.4711s,,,-20d39m16.4509s,75.1 pc,[Star('HD 155233')],,HD 155233,[Star('HD 155233')],Flags()
521,257d23m39.2685s,,,33d21m21.0864s,43.0 pc,[Star('HD 155358')],,HD 155358,[Star('HD 155358')],Flags()
522,258d05m48.054s,,,63d21m07.5347s,36.52 pc,[Star('HD 156279')],,HD 156279,[Star('HD 156279')],Flags()
523,259d57m51.0045s,,,-48d32m57.5538s,55.1 pc,[Star('HD 156411')],,HD 156411,[Star('HD 156411')],Flags()
524,259d25m07.3455s,,,29d13m38.0198s,24.5 pc,[Star('HD 156668')],,HD 156668,[Star('HD 156668')],Flags()
525,260d08m34.6693s,,,-19d20m01.4991s,49.0 pc,[Binary('HD 156846')],,HD 156846,[Binary('HD 156846')],Flags()
526,260d38m38.4885s,,,-19d36m58.2515s,31.9 pc,[Star('HD 157172')],,HD 157172,[Star('HD 157172')],Flags()
527,261d26m21.534s,,,27d18m11.9461s,103.0 pc,[Star('HD 158038')],,HD 158038,[Star('HD 158038')],Flags()
528,261d21m00.8385s,,,52d47m26.4689s,27.07 pc,[Star('HD 158259')],,HD 158259,[Star('HD 158259')],Flags()
529,259d54m16.7055s,,,80d08m11.0396s,285.91 pc,[Star('HD 158996')],,HD 158996,[Star('HD 158996')],Flags()
530,263d20m23.187s,,,5d42m02.6391s,69.2 pc,[Star('HD 159243')],,HD 159243,[Star('HD 159243')],Flags()
531,264d45m00s,,,-43d08m43.8443s,52.7 pc,[Star('HD 159868')],,HD 159868,[Star('HD 159868')],Flags()
532,5d07m52.7808s,,,30d58m29.2948s,84.6 pc,[Star('HD 1605')],,HD 1605,[Star('HD 1605')],Flags()
533,38d49m45s,,,-3d33m38s,35.9 pc,[Binary('HD 16141')],,HD 16141,[Binary('HD 16141')],Flags()
534,39d15m28.6665s,,,42d03m45.4696s,58.34 pc,[Star('HD 16175')],,HD 16175,[Star('HD 16175')],Flags()
535,267d39m35.3175s,,,-40d19m06.08s,31.26 pc,[Star('HD 162020')],,HD 162020,[Star('HD 162020')],Flags()
536,269d05m19.323s,,,-21d57m21.8723s,122.0 pc,[Star('HD 163296')],,HD 163296,[Star('HD 163296')],Flags()
537,268d25m07.4205s,,,56d23m31.0388s,69.0 pc,[Star('HD 163607')],,HD 163607,[Star('HD 163607')],Flags()
538,39d14m39.1185s,,,-34d34m40.7134s,25.5 pc,[Star('HD 16417')],,HD 16417,[Star('HD 16417')],Flags()
539,270d22m48.4125s,,,0d06m16.4026s,52.0 pc,[Star('HD 164509')],,HD 164509,[Star('HD 164509')],Flags()
540,270d09m43.4146s,,,29d34m18.9202s,28.93 pc,[Star('HD 164595')],,HD 164595,[Star('HD 164595')],Flags()
541,270d46m43.9965s,,,-28d33m38.3575s,38.0 pc,[Star('HD 164604')],,HD 164604,[Star('HD 164604')],Flags()
542,270d37m42.936s,,,26d18m46.8033s,22.04 pc,[Star('HD 164922')],,HD 164922,[Star('HD 164922')],Flags()
543,271d29m20.2455s,,,-29d55m02.09s,64.98 pc,[Star('HD 165155')],,HD 165155,[Star('HD 165155')],Flags()
544,5d13m05.0938s,,,-19d55m52.4083s,110.6 pc,[Star('HD 1666')],,HD 1666,[Star('HD 1666')],Flags()
545,273d30m00s,,,-42d34m31.3562s,42.3 pc,[Star('HD 166724')],,HD 166724,[Star('HD 166724')],Flags()
546,272d37m54.6012s,,,54d17m11.5922s,50.23 pc,[Star('HD 167042')],,HD 167042,[Star('HD 167042')],Flags()
547,275d00m58.9965s,,,-9d35m44.6093s,37.38 pc,[Star('HD 168443')],,HD 168443,[Star('HD 168443')],Flags()
548,275d27m26.742s,,,-11d55m21.6537s,43.12 pc,[Star('HD 168746')],,HD 168746,[Star('HD 168746')],Flags()
549,5d18m19.9065s,,,-8d16m52.1673s,319.0 pc,[Star('HD 1690')],,HD 1690,[Star('HD 1690')],Flags()
550,276d57m22.2529s,,,-29d49m00.7073s,36.6 pc,[Star('HD 169830')],,HD 169830,[Star('HD 169830')],Flags()
551,277d17m44.718s,,,11d41m43.7984s,64.97 pc,[Star('HD 170469')],,HD 170469,[Star('HD 170469')],Flags()
552,41d35m31.767s,,,49d39m11.0948s,109.0 pc,[Star('HD 17092')],,HD 17092,[Star('HD 17092')],Flags()
553,278d03m52.398s,,,6d56m44.6857s,90.0 pc,[Star('HD 171028')],,HD 171028,[Star('HD 171028')],Flags()
554,278d40m55.1385s,,,-28d04m20.3345s,50.28 pc,[Star('HD 171238')],,HD 171238,[Star('HD 171238')],Flags()
555,42d26m07.299s,,,71d45m11.6321s,78.24 pc,[Star('HD 17156')],,HD 17156,[Star('HD 17156')],Flags()
556,280d54m01.641s,,,36d33m23.7814s,135.0 pc,[Star('HD 173416')],,HD 173416,[Star('HD 173416')],Flags()
557,285d00m12.5175s,,,-69d56m39.2704s,67.02 pc,[Star('HD 175167')],,HD 175167,[Star('HD 175167')],Flags()
558,283d14m55.818s,,,43d42m48.4925s,272.0 pc,[Star('HD 175370')],,HD 175370,[Star('HD 175370')],Flags()
559,283d55m13.26s,,,4d15m55.1622s,128.0 pc,[Star('HD 175541')],,HD 175541,[Star('HD 175541')],Flags()
560,285d16m22.332s,,,-66d11m33.6424s,45.27 pc,[Star('HD 175607')],,HD 175607,[Star('HD 175607')],Flags()
561,284d15m24.1477s,,,32d54m04.5723s,14.872 pc,[Binary('HD 176051')],,HD 176051,[Binary('HD 176051')],Flags()
562,42d46m04.2825s,,,30d17m12.2639s,44.48 pc,[Star('HD 17674')],,HD 17674,[Star('HD 17674')],Flags()
563,285d46m28.0935s,,,-11d02m38.1312s,27.81 pc,[Star('HD 176986')],,HD 176986,[Star('HD 176986')],Flags()
564,286d43m06.9645s,,,-37d48m38.3728s,16.93 pc,[Star('HD 177565')],,HD 177565,[Star('HD 177565')],Flags()
565,286d20m11.6011s,,,25d55m14.3797s,59.0 pc,[Binary('HD 177830')],,HD 177830,[Binary('HD 177830')],Flags()
566,287d15m45s,,,34d35m59s,46.73 pc,[Binary('HD 178911')],,HD 178911,[Binary('HD 178911')],Flags()
567,287d47m27.429s,,,-2d38m18.1871s,63.69 pc,[Star('HD 179079')],,HD 179079,[Star('HD 179079')],Flags()
568,288d53m18.45s,,,-24d10m45.6733s,27.0 pc,[Star('HD 179949')],,HD 179949,[Star('HD 179949')],Flags()
569,288d24m03.2055s,,,34d54m52.3495s,137.59 pc,[Star('HD 180053')],,HD 180053,[Star('HD 180053')],Flags()
570,43d21m48.093s,,,-8d50m52.8734s,124.24 pc,[Star('HD 18015')],,HD 18015,[Star('HD 18015')],Flags()
571,288d42m33.1305s,,,31d51m37.2594s,132.0 pc,[Star('HD 180314')],,HD 180314,[Star('HD 180314')],Flags()
572,289d13m48.8479s,,,5d10m08.0389s,5.9116 pc,[Binary('LDS 6334')],,HD 180617,[Binary('LDS 6334')],Flags()
573,289d49m25.617s,,,-23d33m29.3632s,110.0 pc,[Star('HD 180902')],,HD 180902,[Star('HD 180902')],Flags()
574,290d00m01.458s,,,-9d19m24.9587s,47.81 pc,[Star('HD 181234')],,HD 181234,[Star('HD 181234')],Flags()
575,290d16m03.456s,,,-23d37m10.4512s,110.6 pc,[Star('HD 181342')],,HD 181342,[Star('HD 181342')],Flags()
576,291d17m23.508s,,,-66d28m07.6762s,26.15 pc,[Star('HD 181433')],,HD 181433,[Star('HD 181433')],Flags()
577,290d43m14.772s,,,-32d55m08.5913s,56.0 pc,[Star('HD 181720')],,HD 181720,[Star('HD 181720')],Flags()
578,292d06m08.577s,,,8d21m29.0043s,54.02 pc,[Star('HD 183263')],,HD 183263,[Star('HD 183263')],Flags()
579,294d17m56.1138s,,,28d29m59.5055s,50.28 pc,[Binary('HD 185269')],,HD 185269,[Binary('HD 185269')],Flags()
580,294d39m41.028s,,,31d13m09.2157s,137.0 pc,[Star('HD 185603')],,HD 185603,[Star('HD 185603')],Flags()
581,297d23m29.496s,,,-37d46m49.9739s,44.98 pc,[Star('HD 187085')],,HD 187085,[Star('HD 187085')],Flags()
582,296d44m31.6948s,,,34d25m10.281s,48.3 pc,[Star('HD 187123')],,HD 187123,[Star('HD 187123')],Flags()
583,45d02m39.8475s,,,-20d48m09.3742s,135.0 pc,[Star('HD 18742')],,HD 18742,[Star('HD 18742')],Flags()
584,298d01m00s,,,28d06m01s,52.6 pc,[Binary('HD 188015')],,HD 188015,[Binary('HD 188015')],Flags()
585,301d23m11.478s,,,-67d19m15.2288s,17.7 pc,[Star('HD 189567')],,HD 189567,[Star('HD 189567')],Flags()
586,300d10m45s,,,22d42m39s,19.3 pc,[Binary('HD 189733')],,HD 189733,[Binary('HD 189733')],Flags()
587,300d41m45.6825s,,,3d19m34.2648s,12.72 pc,[Star('HD 190007')],,HD 190007,[Star('HD 190007')],Flags()
588,301d49m55.047s,,,-35d32m19.0785s,54.2 pc,[Star('HD 190647')],,HD 190647,[Star('HD 190647')],Flags()
589,302d52m40.7265s,,,-64d37m13.6871s,103.0 pc,[Star('HD 190984')],,HD 190984,[Star('HD 190984')],Flags()
590,302d22m04.644s,,,52d16m34.8017s,65.7 pc,[Star('HD 191806')],,HD 191806,[Star('HD 191806')],Flags()
591,302d01m26.3235s,,,66d51m02.0755s,53.48 pc,[Star('HD 191939')],,HD 191939,[Star('HD 191939')],Flags()
592,303d30m00s,,,-0d52m00.7716s,19.9 pc,[Star('HD 192263')],,HD 192263,[Star('HD 192263')],Flags()
593,304d01m30.0762s,,,4d34m50.8537s,65.6 pc,[Star('HD 192699')],,HD 192699,[Star('HD 192699')],Flags()
594,307d04m15s,,,18d46m12s,37.36 pc,[Binary('HD 195019')],,HD 195019,[Binary('HD 195019')],Flags()
595,307d51m35.301s,,,39d56m19.7651s,205.7 pc,[Star('HD 195689')],,HD 195689,[Star('HD 195689')],Flags()
596,309d27m45s,,,-60d38m04s,46.93 pc,[Binary('HD 196050')],,HD 196050,[Binary('HD 196050')],Flags()
597,310d26m01.512s,,,-75d21m02.8848s,44.3 pc,[Star('HD 196067')],,HD 196067,[Star('HD 196067')],Flags()
598,309d57m45s,,,11d14m58s,33.0 pc,[Binary('HD 196885')],,HD 196885,[Binary('HD 196885')],Flags()
599,309d53m14.4021s,,,42d14m54.7845s,32.3 pc,[Binary('HD 197037')],,HD 197037,[Binary('HD 197037')],Flags()
600,48d11m30s,,,-1d11m45s,22.38 pc,[Binary('HD 19994')],,HD 19994,[Binary('HD 19994')],Flags()
601,46d54m28.7595s,,,-72d19m18.7956s,43.8 pc,[Star('HD 20003')],,HD 20003,[Star('HD 20003')],Flags()
602,316d39m57.6358s,,,3d48m11.228s,68.4 pc,[Star('HD 200964')],,HD 200964,[Star('HD 200964')],Flags()
603,318d44m26.526s,,,-20d47m21.1623s,46.34 pc,[Star('HD 202206')],,HD 202206,[Star('HD 202206')],Flags()
604,319d13m29.301s,,,27d15m29.239s,189.56 pc,[Star('HD 202696')],,HD 202696,[Star('HD 202696')],Flags()
605,319d42m00s,,,-26d36m59s,147.2 pc,[Binary('HD 202772 A')],,HD 202772 A,[Binary('HD 202772 A')],Flags()
606,319d44m33.297s,,,26d13m49.9561s,39.29 pc,[Star('HD 203030')],,HD 203030,[Star('HD 203030')],Flags()
607,320d34m43.11s,,,5d01m24.9166s,72.79 pc,[Star('HD 203473')],,HD 203473,[Star('HD 203473')],Flags()
608,49d25m00.699s,,,31d07m37.3584s,26.12 pc,[Star('HD 20367')],,HD 20367,[Star('HD 20367')],Flags()
609,6d05m04.1715s,,,-56d39m00.1817s,89.8 pc,[Star('HD 2039')],,HD 2039,[Star('HD 2039')],Flags()
610,322d03m03.1063s,,,-21d43m34.5199s,47.4 pc,[Star('HD 204313')],,HD 204313,[Star('HD 204313')],Flags()
611,323d05m52.6485s,,,-20d57m26.7196s,27.0 pc,[Star('HD 204941')],,HD 204941,[Star('HD 204941')],Flags()
612,324d32m06.0585s,,,-31d44m14.9406s,90.3 pc,[Star('HD 205739')],,HD 205739,[Star('HD 205739')],Flags()
613,325d35m28.389s,,,-50d05m36.9978s,75.4 pc,[Star('HD 206255')],,HD 206255,[Star('HD 206255')],Flags()
614,325d51m13.5045s,,,-7d24m29.712s,194.0 pc,[Star('HD 206610')],,HD 206610,[Star('HD 206610')],Flags()
615,50d00m53.6686s,,,-28d51m14.6651s,35.49 pc,[Binary('WDS J03201-2851')],,HD 20782,[Binary('WDS J03201-2851')],Flags()
616,328d09m04.2135s,,,-26d01m35.6132s,54.4 pc,[Star('HD 207832')],,HD 207832,[Star('HD 207832')],Flags()
617,49d58m54.7635s,,,-43d04m11.2174s,6.0 pc,[Star('HD 20794')],,HD 20794,[Star('HD 20794')],Flags()
618,329d19m57.7125s,,,-37d45m49.0479s,45.0 pc,[Star('HD 208487')],,HD 208487,[Star('HD 208487')],Flags()
619,329d05m59.7675s,,,21d14m23.4863s,320.2 pc,[Star('HD 208527')],,HD 208527,[Star('HD 208527')],Flags()
620,50d10m40.4106s,,,-33d43m48.3916s,46.2 pc,[Star('HD 20868')],,HD 20868,[Star('HD 20868')],Flags()
621,329d44m55.374s,,,19d01m13.088s,64.68 pc,[Star('HD 208897')],,HD 208897,[Star('HD 208897')],Flags()
622,330d47m41.5935s,,,18d53m03.5482s,47.0 pc,[Star('HD 209458')],,HD 209458,[Star('HD 209458')],Flags()
623,332d23m39.1905s,,,-41d13m29.6177s,42.25 pc,[Star('HD 210193')],,HD 210193,[Star('HD 210193')],Flags()
624,332d22m27.9855s,,,-7d32m55.163s,21.29 pc,[Star('HD 210277')],,HD 210277,[Star('HD 210277')],Flags()
625,332d57m49.9629s,,,16d02m25.9903s,54.9 pc,[Star('HD 210702')],,HD 210702,[Star('HD 210702')],Flags()
626,334d31m38.0895s,,,61d08m03.9706s,64.76 pc,[Star('HD 211810')],,HD 211810,[Star('HD 211810')],Flags()
627,335d34m03.09s,,,-54d33m38.2064s,13.0 pc,[Star('HD 211970')],,HD 211970,[Star('HD 211970')],Flags()
628,336d52m43.8225s,,,-77d43m04.5298s,52.7 pc,[Star('HD 212301')],,HD 212301,[Star('HD 212301')],Flags()
629,336d45m46.083s,,,-17d15m49.1631s,131.0 pc,[Star('HD 212771')],,HD 212771,[Star('HD 212771')],Flags()
630,337d45m00s,,,-49d25m59s,40.75 pc,[Binary('HD 213240')],,HD 213240,[Binary('HD 213240')],Flags()
631,338d59m04.725s,,,-59d51m52.0758s,47.97 pc,[Star('HD 213885')],,HD 213885,[Star('HD 213885')],Flags()
632,51d32m46.767s,,,-30d37m04.1295s,29.16 pc,[Star('HD 21411')],,HD 21411,[Star('HD 21411')],Flags()
633,340d04m58.0545s,,,31d47m15.3456s,94.43 pc,[Star('HD 214823')],,HD 214823,[Star('HD 214823')],Flags()
634,340d50m19.542s,,,-6d24m02.9557s,21.61 pc,[Star('HD 215152')],,HD 215152,[Star('HD 215152')],Flags()
635,341d32m00.513s,,,-48d58m43.7623s,38.0 pc,[Star('HD 215456')],,HD 215456,[Star('HD 215456')],Flags()
636,341d39m11.3085s,,,-56d35m58.3284s,44.0 pc,[Star('HD 215497')],,HD 215497,[Star('HD 215497')],Flags()
637,343d24m28.983s,,,-48d35m53.8246s,33.3 pc,[Star('HD 216435')],,HD 216435,[Star('HD 216435')],Flags()
638,343d39m52.2435s,,,-70d04m25.3566s,26.5 pc,[Star('HD 216437')],,HD 216437,[Star('HD 216437')],Flags()
639,341d52m58.1475s,,,83d41m49.2992s,19.56 pc,[Star('HD 216520')],,HD 216520,[Star('HD 216520')],Flags()
640,343d15m59.5875s,,,44d28m39.8755s,380.3 pc,[Star('HD 216536')],,HD 216536,[Star('HD 216536')],Flags()
641,343d58m25.623s,,,-26d39m31.548s,38.0 pc,[Star('HD 216770')],,HD 216770,[Star('HD 216770')],Flags()
642,51d48m07.2285s,,,-58d19m25.2482s,32.4 pc,[Star('HD 21693')],,HD 21693,[Star('HD 21693')],Flags()
643,344d33m53.1135s,,,-2d23m43.3871s,20.0 pc,[Star('HD 217107')],,HD 217107,[Star('HD 217107')],Flags()
644,345d47m03.075s,,,-0d25m46.66s,54.9 pc,[Binary('HD 217786')],,HD 217786,[Binary('HD 217786')],Flags()
645,345d39m10.1445s,,,58d52m33.5377s,65.9 pc,[Star('HD 217850')],,HD 217850,[Star('HD 217850')],Flags()
646,347d17m40.9156s,,,-2d15m38.6775s,28.55 pc,[Star('HD 218566')],,HD 218566,[Star('HD 218566')],Flags()
647,348d31m38.8185s,,,-62d42m00.0124s,29.0 pc,[Star('HD 219077')],,HD 219077,[Star('HD 219077')],Flags()
648,348d19m14.6448s,,,57d10m06.0823s,6.546 pc,[Star('HD 219134')],,HD 219134,[Star('HD 219134')],Flags()
649,348d43m27.3045s,,,56d43m49.1686s,166.0 pc,[Star('HD 219415')],,HD 219415,[Star('HD 219415')],Flags()
