,right_ascension,altnames,list,declination,distance,child_stars_binaries,epoch,name,all_children,flags
3045,246d50m00s,,,-24d41m40s,125.0 pc,[Binary('SR 12')],,SR 12 AB,[Binary('SR 12')],Flags()
3046,,,,,,[Star('Sun')],,Sun,[Star('Sun')],Flags()
3047,269d45m45s,,,-29d11m54s,8500.0 pc,[Star('SWEEPS-11')],,SWEEPS-11,[Star('SWEEPS-11')],Flags()
3048,269d43m30s,,,-29d11m21s,6600.0 pc,[Star('SWEEPS-4')],,SWEEPS-4,[Star('SWEEPS-4')],Flags()
3049,64d42m55.551s,,,17d23m16.5798s,121.8 pc,[Star('TAP 26')],,TAP 26,[Star('TAP 26')],Flags()
3050,206d48m56.151s,,,17d27m24.8552s,15.62 pc,[Binary('tau Boo')],,tau Boo,[Binary('tau Boo')],Flags()
3051,26d01m01.2507s,,,-15d56m14.9262s,3.6502 pc,[Star('tau Ceti')],,tau Ceti,[Star('tau Ceti')],Flags()
3052,107d47m05.5563s,,,30d14m42.5831s,98.4 pc,[Binary('tau Gem')],,tau Gem,[Binary('tau Gem')],Flags()
3053,76d55m39.6s,,,24d47m55.5s,689.0 pc,[Star('TCP J05074264+2447555L')],,TCP J05074264+2447555L,[Star('TCP J05074264+2447555L')],Flags()
3054,63d31m13.05s,,,-31d55m22.44s,584.0 pc,[Binary('TIC 168789840')],,TIC 168789840,[Binary('TIC 168789840')],Flags()
3055,22d26m45s,,,-60d44m24s,308.79 pc,[Star('TIC 237913194')],,TIC 237913194,[Star('TIC 237913194')],Flags()
3056,286d22m30s,,,-41d26m15s,58.36 pc,[Star('TOI-1130')],,TOI-1130,[Star('TOI-1130')],Flags()
3057,332d56m45s,,,-58d56m42s,62.23 pc,[Star('TOI-122')],,TOI-122,[Star('TOI-122')],Flags()
3058,152d13m00s,,,69d16m36s,39.63 pc,[Star('TOI-1235')],,TOI-1235,[Star('TOI-1235')],Flags()
3059,282d06m00s,,,79d15m22s,118.11 pc,[Binary('TOI-1259')],,TOI-1259,[Binary('TOI-1259')],Flags()
3060,23d35m45s,,,-66d40m33s,111.4 pc,[Star('TOI-125')],,TOI-125,[Star('TOI-125')],Flags()
