,alt_names,flags,system,names,list,separation,position_angle,mass,magUltraviolet,magBlue,magH_nearinf,magInfared,magJ_nearinf,magK_nearinf,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,inclination,parent_obj,child_obj,stars,period,semi_major_axis,eccentricity,longitude,ascending_node
61,"['Gliese 81.1', 'GJ 81.1', 'GJ 9063', 'BD-10 403', 'WDS J01572-1015']",Flags(lculated Period'),System('HD 11964'),HD 11964,[],976.0 au,133,,,,,,,,,,,,32.85 pc,,,,,System('HD 11964'),"[Star('HD 11964 A'), Star('HD 11964 B')]","[Star('HD 11964 A'), Star('HD 11964 B')]",,,,,
62,['HWD 1'],Flags(lculated Period'),System('HD 126614'),HD 126614 AB,[],36.1 au,60.70,,,,,,,,,,,,72.6 pc,,,,,Binary('HD 126614 AC'),"[Star('HD 126614 A'), Star('HD 126614 B')]","[Star('HD 126614 A'), Star('HD 126614 B')]",,,,,
63,['LDS 4465'],Flags(lculated Period'),System('HD 126614'),HD 126614 AC,[],3030.0 au,299,,,,,,,,,,,,72.6 pc,,,,,System('HD 126614'),"[Binary('HD 126614 AB'), Star('HD 126614 C')]","[Binary('HD 126614 AB'), Star('HD 126614 C')]",,,,,
64,"['TYC 7306-2615-1', 'WDS J14544-3409 A']",Flags(),System('HD 131399'),HD 131399 A,[],,,,,,,,,,,,,,98.0 pc,-133.50291 deg,,,,Binary('HD 131399'),"[Star('HD 131399 Aa1'), Star('HD 131399 Aa2'), Planet('HD 131399 Ab')]","[Star('HD 131399 Aa1'), Star('HD 131399 Aa2'), Planet('HD 131399 Ab')]",9.92860,0.1199,0.48916,,
65,['TYC 7306-2615-2'],Flags(lculated Period'),System('HD 131399'),WDS J14544-3409 B,[],9.8 au,235,,,,,,,,,,,,98.0 pc,,,,,Binary('HD 131399'),"[Star('HD 131399 B'), Star('HD 131399 C')]","[Star('HD 131399 B'), Star('HD 131399 C')]",,,,,
66,"['HIP 72940', 'CD-33 10153', 'WDS J14544-3409']",Flags(),System('HD 131399'),HD 131399,[],,,,,,,,,,,,,,98.0 pc,145.3 deg,,,55,System('HD 131399'),"[Binary('HD 131399 A'), Binary('WDS J14544-3409 B')]","[Binary('HD 131399 A'), Binary('WDS J14544-3409 B')]",1298801.3,349,0.13,,265
67,[],Flags(),System('HD 132563'),HD 132563 A,[],,,,,,,,,,,,,,96.0 pc,,,,,Binary('HD 132563'),"[Star('HD 132563 Aa'), Star('HD 132563 Ab')]","[Star('HD 132563 Aa'), Star('HD 132563 Ab')]",17000,14.8,0.860,,
68,"['HIP 73261', 'STF 1896', 'WDS J14584+4403']",Flags(lculated Period'),System('HD 132563'),HD 132563,[],400.0 au,276.95,,,,,,,,,,,,96.0 pc,,,,,System('HD 132563'),"[Binary('HD 132563 A'), Star('HD 132563 B')]","[Binary('HD 132563 A'), Star('HD 132563 B')]",,,,,
69,[],Flags(lculated Period'),System('HD 133131'),,[],,,,,,,,,,,,,,47.0 pc,,,,,System('HD 133131'),"[Star('HD 133131 A'), Star('HD 133131 B')]","[Star('HD 133131 A'), Star('HD 133131 B')]",,360,,,
70,[],Flags(lculated Period'),System('HD 142022'),,[],732.0 au,130,,,,,,,,,,,,35.87 pc,,,,,System('HD 142022'),"[Star('HD 142022 A'), Star('HD 142022 B')]","[Star('HD 142022 A'), Star('HD 142022 B')]",,,,,
71,[],Flags(lculated Period'),System('HD 142'),,[],111.0 au,177,,,,,,,,,,,,20.6 pc,,,,,System('HD 142'),"[Star('HD 142 A'), Star('HD 142 B')]","[Star('HD 142 A'), Star('HD 142 B')]",,,,,
72,"['Gl 617', 'GJ 617', 'WDS J16167+6714']",Flags(lculated Period'),System('HD 147379'),Gliese 617,[],690.0 au,14,,,,,,,,,,,,10.735 pc,,,,,System('HD 147379'),"[Star('HD 147379'), Star('EW Draconis')]","[Star('HD 147379'), Star('EW Draconis')]",,,,,
73,[],Flags(lculated Period'),System('HD 147513'),,[],4451.0 au,245,,,,,,,,,,,,12.9 pc,,,,,System('HD 147513'),"[Star('HD 147513 A'), Star('HD 147513 B')]","[Star('HD 147513 A'), Star('HD 147513 B')]",,,,,
74,"['HIP 84856', 'WDS J17206-1920']",Flags(lculated Period'),System('HD 156846'),HD 156846,[],240.0 au,73,,,,,,,,,,,,49.0 pc,,,,,System('HD 156846'),"[Star('HD 156846 A'), Star('HD 156846 B')]","[Star('HD 156846 A'), Star('HD 156846 B')]",,,,,
75,[],Flags(lculated Period'),System('HD 16141'),,[],223.0 au,187,,,,,,,,,,,,35.9 pc,,,,,System('HD 16141'),"[Star('HD 16141 A'), Star('HD 16141 B')]","[Star('HD 16141 A'), Star('HD 16141 B')]",,,,,
76,"['HIP 93017', 'GJ 738', 'Gliese 738', 'Gl 738', 'HR 7162', 'BD+32 3267', 'SAO 67612', 'WDS J18570+3254 AB', 'Inrakluk']",Flags(),System('HD 176051'),HD 176051,[],,,,,,,,,,,,,,14.872 pc,281.71 deg,,,114.159,System('HD 176051'),"[Star('HD 176051 A'), Star('HD 176051 B')]","[Star('HD 176051 A'), Star('HD 176051 B')]",22430,18.97,0.2667,,48.846
77,"['HIP 93746', 'SAO 86791', 'Gliese 743.2', 'GJ 743.2', 'BD+25 3719', 'WDS J19053+2555']",Flags(lculated Period'),System('HD 177830'),HD 177830,[],97.1 au,84.85,,,,,,,,,,,,59.0 pc,,,,,System('HD 177830'),"[Star('HD 177830 A'), Star('HD 177830 B')]","[Star('HD 177830 A'), Star('HD 177830 B')]",,,,,
78,[],Flags(),System('HD 178911'),,[],,,,,,,,,,,,,,46.73 pc,,,,,Binary('HD 178911'),"[Star('HD 178911 Aa'), Star('HD 178911 Ab')]","[Star('HD 178911 Aa'), Star('HD 178911 Ab')]",1296.6098,,0.59,,
79,[],Flags(lculated Period'),System('HD 178911'),,[],752.0 au,82,,,,,,,,,,,,46.73 pc,,,,,System('HD 178911'),"[Binary('HD 178911'), Star('HD 178911 B')]","[Binary('HD 178911'), Star('HD 178911 B')]",,,,,
80,"['GJ 752', 'Gl 752', 'Gliese 752', 'WDS J19169+0510 AB']",Flags(lculated Period'),System('HD 180617'),LDS 6334,[],448.0 au,152,,,,,,,,,,,,5.9116 pc,,,,,System('HD 180617'),"[Star('HD 180617'), Star('VB 10')]","[Star('HD 180617'), Star('VB 10')]",,,,,
81,[],Flags(lculated Period'),System('HD 185269'),,[],4.81 au,221.1,,,,,,,,,,,,50.28 pc,,,,,Binary('HD 185269'),"[Star('HD 185269 Ba'), Star('HD 185269 Bb')]","[Star('HD 185269 Ba'), Star('HD 185269 Bb')]",,,,,
82,['BD+28 3412'],Flags(lculated Period'),System('HD 185269'),HD 185269,[],228.6 au,8.15,,,,,,,,,,,,50.28 pc,,,,,System('HD 185269'),"[Binary('HD 185269'), Star('HD 185269 A')]","[Binary('HD 185269'), Star('HD 185269 A')]",,,,,
83,[],Flags(lculated Period'),System('HD 188015'),,[],684.0 au,85,,,,,,,,,,,,52.6 pc,,,,,System('HD 188015'),"[Star('HD 188015 A'), Star('HD 188015 B')]","[Star('HD 188015 A'), Star('HD 188015 B')]",,,,,
84,[],Flags(lculated Period'),System('HD 189733'),,[],216.0 au,246,,,,,,,,,,,,19.3 pc,,,,,System('HD 189733'),"[Star('HD 189733 A'), Star('HD 189733 B')]","[Star('HD 189733 A'), Star('HD 189733 B')]",,,,,
85,[],Flags(lculated Period'),System('HD 195019'),,[],130.0 au,330,,,,,,,,,,,,37.36 pc,,,,,System('HD 195019'),"[Star('HD 195019 A'), Star('HD 195019 B')]","[Star('HD 195019 A'), Star('HD 195019 B')]",,,,,
86,[],Flags(lculated Period'),System('HD 196050'),,[],,,,,,,,,,,,,,46.93 pc,,,,,Binary('HD 196050'),"[Star('HD 196050 Ba'), Star('HD 196050 Bb')]","[Star('HD 196050 Ba'), Star('HD 196050 Bb')]",,19.7,,,
87,[],Flags(lculated Period'),System('HD 196050'),,[],511.0 au,175,,,,,,,,,,,,46.93 pc,,,,,System('HD 196050'),"[Binary('HD 196050'), Star('HD 196050 A')]","[Binary('HD 196050'), Star('HD 196050 A')]",,,,,
88,[],Flags(lculated Period'),System('HD 196885'),,[],,,,,,,,,,,,,,33.0 pc,,,,,System('HD 196885'),"[Star('HD 196885 A'), Star('HD 196885 B')]","[Star('HD 196885 A'), Star('HD 196885 B')]",,23,,,
