,alt_names,flags,system,names,list,separation,position_angle,mass,magUltraviolet,magBlue,magH_nearinf,magInfared,magJ_nearinf,magK_nearinf,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,inclination,parent_obj,child_obj,stars,period,semi_major_axis,eccentricity,longitude,ascending_node
182,[],Flags(lculated Period'),System('TOI-451'),,[],,,,,,,,,,,,,,123.74 pc,,,,,System('TOI-451'),"[Star('TOI-451 B'), Star('TOI-451')]","[Star('TOI-451 B'), Star('TOI-451')]",,4700,,,
183,[],Flags(lculated Period'),System('TrES-2'),TrES-2,[],216.0 au,136.325,,,,,,,,,,,,213.0 pc,,,,,System('TrES-2'),"[Star('TrES-2 A'), Star('TrES-2 B')]","[Star('TrES-2 A'), Star('TrES-2 B')]",,,,,
184,[],Flags(lculated Period'),System('TrES-4'),TrES-4,[],754.0 au,359.8,,,,,,,,,,,,485.0 pc,,,,,System('TrES-4'),"[Star('TrES-4 A'), Star('TrES-4 B')]","[Star('TrES-4 A'), Star('TrES-4 B')]",,,,,
185,[],Flags(lculated Period'),System('Upsilon Andromedae'),,[],700.0 au,150,,,,,,,,,,,,13.47 pc,,,,,System('Upsilon Andromedae'),"[Star('Upsilon Andromedae A'), Star('Upsilon Andromedae B')]","[Star('Upsilon Andromedae A'), Star('Upsilon Andromedae B')]",,,,,
186,"['VHS J125602.15-125721.7', '2MASS J125602.15-125721.7']",Flags(lculated Period'),System('VHS 1256-1257'),VHS 1256-1257,[],1.4 au,173.3,,,,,,,,,,,,12.7 pc,,,,,System('VHS 1256-1257'),"[Star('VHS 1256-1257 A'), Star('VHS 1256-1257 B'), Planet('VHS 1256-1257 b')]","[Star('VHS 1256-1257 A'), Star('VHS 1256-1257 B'), Planet('VHS 1256-1257 b')]",,,,,
187,['HAT-P-10'],Flags(lculated Period'),System('WASP-11'),WASP-11,[],41.7 au,214.09,,,,,,,,,,,,125.1 pc,,,,,System('WASP-11'),"[Star('WASP-11 A'), Star('WASP-11 B')]","[Star('WASP-11 A'), Star('WASP-11 B')]",,,,,
188,[],Flags(lculated Period'),System('WASP-12'),,[],21.0 au,84,,,,,,,,,,,,250.0 pc,,,,,Binary('WASP-12'),"[Star('WASP-12 B'), Star('WASP-12 C')]","[Star('WASP-12 B'), Star('WASP-12 C')]",,,,,
189,[],Flags(lculated Period'),System('WASP-12'),,[],266.0 au,251.3,,,,,,,,,,,,250.0 pc,,,,,System('WASP-12'),"[Binary('WASP-12'), Star('WASP-12')]","[Binary('WASP-12'), Star('WASP-12')]",,,,,
190,[],Flags(lculated Period'),System('WASP-145'),,[],,,,,,,,,,,,,,,,,,,System('WASP-145'),"[Star('WASP-145 A'), Star('WASP-145 B')]","[Star('WASP-145 A'), Star('WASP-145 B')]",,,,,
191,[],Flags(lculated Period'),System('WASP-14'),WASP-14,[],302.0 au,102.210,,,,,,,,,,,,160.0 pc,,,,,System('WASP-14'),"[Star('WASP-14 A'), Star('WASP-14 B')]","[Star('WASP-14 A'), Star('WASP-14 B')]",,,,,
192,"['KELT-22', 'WDS J23366-3437', 'CCDM J23367-3437']",Flags(lculated Period'),System('WASP-173'),WASP-173,[],1400.0 au,110.1,,,,,,,,,,,,230.0 pc,,,,,System('WASP-173'),"[Star('WASP-173 A'), Star('WASP-173 B')]","[Star('WASP-173 A'), Star('WASP-173 B')]",,,,,
193,[],Flags(lculated Period'),System('WASP-180'),,[],,,,,,,,,,,,,,255.8 pc,,,,,System('WASP-180'),"[Star('WASP-180 A'), Star('WASP-180 B')]","[Star('WASP-180 A'), Star('WASP-180 B')]",,1200,,,
194,[],Flags(lculated Period'),System('WASP-1'),WASP-1,[],1587.0 au,1.953,,,,,,,,,,,,380.0 pc,,,,,System('WASP-1'),"[Star('WASP-1 A'), Star('WASP-1 B')]","[Star('WASP-1 A'), Star('WASP-1 B')]",,,,,
195,[],Flags(lculated Period'),System('WASP-2'),WASP-2,[],125.0 au,104.7,,,,,,,,,,,,165.8 pc,,,,,System('WASP-2'),"[Star('WASP-2'), Star('WASP-2 B')]","[Star('WASP-2'), Star('WASP-2 B')]",,,,,
196,[],Flags(lculated Period'),System('WASP-3'),WASP-3,[],299.0 au,87.070,,,,,,,,,,,,220.0 pc,,,,,System('WASP-3'),"[Star('WASP-3 A'), Star('WASP-3 B')]","[Star('WASP-3 A'), Star('WASP-3 B')]",,,,,
197,[],Flags(lculated Period'),System('WASP-70'),WASP-70,[],800.0 au,167,,,10.79,9.71,,10.0,9.58,11.75,,,,245.0 pc,,,,,System('WASP-70'),"[Star('WASP-70 A'), Star('WASP-70 B')]","[Star('WASP-70 A'), Star('WASP-70 B')]",,,,,
198,[],Flags(lculated Period'),System('WASP-77'),,[],300.0 au,150,,,,,,,,,,,,93.0 pc,,,,,System('WASP-77'),"[Star('WASP-77 A'), Star('WASP-77 B')]","[Star('WASP-77 A'), Star('WASP-77 B')]",,,,,
199,[],Flags(lculated Period'),System('WASP-85'),,[],,99.6,,,,,,,,,,,,128.0 pc,,,,,System('WASP-85'),"[Star('WASP-85 A'), Star('WASP-85 B')]","[Star('WASP-85 A'), Star('WASP-85 B')]",,,,,
200,['WDS J23596-3502'],Flags(lculated Period'),System('WASP-8'),WASP-8,[],,170.948,,,,,,,,,,,,89.3 pc,,,,,System('WASP-8'),"[Star('WASP-8 A'), Star('WASP-8 B')]","[Star('WASP-8 A'), Star('WASP-8 B')]",,,,,
201,[],Flags(lculated Period'),System('WASP-94'),,[],2700.0 au,,,,,,,,,,,,,180.0 pc,,,,,System('WASP-94'),"[Star('WASP-94 A'), Star('WASP-94 B')]","[Star('WASP-94 A'), Star('WASP-94 B')]",,,,,
