,name,flags,system,radius,orbital_inclination,seperation,age,transit_time,longitude,ascending_node,discovery_method,discovery_year,description ,alt_names,list,type,mass,semi_major_axis,orbital_period,periastron,periastron_time,eccentricity,distance,temp,right_ascension,declination,parent_obj,star
282,GJ 682 c,Flags(lculated Temperature'),System('GJ 682'),,,,,,,,RV,2014,The planet candidates orbiting GJ 682 were identified by Bayesian analysis of 49 UVES and 12 HARPS radial velocity measurements.,"['Gliese 682 c', 'TYC 7896-3808-1 c', 'Gaia DR2 5955305209191546112 c', 'HIP 86214 c', 'GJ 682 c']",['Controversial'],<bound method Planet.type of Planet('GJ 682 c')>,0.027 M_j,0.176 au,57.32 d,320.0 deg,,0.1,5.079 pc,,264d15m54.9363s,-44d19m09.1697s,Star('GJ 682'),Star('GJ 682')
283,GJ 685 b,Flags(lculated Temperature'),System('GJ 685'),,,,,,,,RV,2019,This planet was discovered by Pinamonti et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Pinamonti et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 86087 b', 'TYC 4199-693-1 b', 'Gaia DR2 1439069444391326208 b', 'GJ 685 b']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 685 b')>,0.02832 M_j,0.1344 au,,,,0.0,14.32 pc,369.84671630341853 K,263d53m37.1775s,61d40m53.6265s,Star('GJ 685'),Star('GJ 685')
284,GJ 687 b,Flags(lculated Temperature'),System('GJ 687'),,,,,,,,RV,2014,This planet was discovered by Burt et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 86162 b', 'TYC 4428-1943-1 b', 'Gaia DR2 1637645127018395776 b', 'GJ 687 b']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 687 b')>,0.05412 M_j,0.163 au,38.142 d,117.0 deg,,0.17,4.55 pc,,264d06m28.4865s,68d20m20.9041s,Star('GJ 687'),Star('GJ 687')
285,GJ 687 c,Flags(lculated Temperature'),System('GJ 687'),,,,,,,,RV,2020,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 86162 c', 'GJ 687 c']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 687 c')>,0.05034 M_j,1.165 au,727.562 d,176.0 deg,,0.4,4.55 pc,,264d06m28.4865s,68d20m20.9041s,Star('GJ 687'),Star('GJ 687')
286,GJ 725 B b,"Flags(lculated Temperature', 'Calculated SMA')",System('GJ 725'),,,,,,,,RV,2016,A possible planet candidate around GJ 725 B was identified by Berdiñas et al. (2016). Further observations are necessary to verify that the RV variations are periodic.,['GJ 725 B b'],"['Controversial', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('GJ 725 B b')>,0.00378 M_j,,,,,,3.52 pc,547.2329398568081 K,,,Star('GJ 725 B'),Star('GJ 725 B')
287,GJ 887 b,Flags(),System('GJ 887'),,,,,,,,RV,2020,This planet was discovered by Jeffers et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Jeffers et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HD 217987 b', 'HIP 114046 b', 'Gaia DR2 6553614253923452800 b', 'Lacaille 9352 b', 'GJ 887 b']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 887 b')>,0.01321 M_j,0.068 au,,,,0.0,3.29 pc,468.0 K,346d28m00.531s,-35d51m11.0587s,Star('GJ 887'),Star('GJ 887')
288,GJ 887 c,Flags(),System('GJ 887'),,,,,,,,RV,2020,This planet was discovered by Jeffers et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Jeffers et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HD 217987 c', 'HIP 114046 c', 'Gaia DR2 6553614253923452800 c', 'Lacaille 9352 c', 'GJ 887 c']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 887 c')>,0.02391 M_j,0.12 au,,,,,3.29 pc,352.0 K,346d28m00.531s,-35d51m11.0587s,Star('GJ 887'),Star('GJ 887')
289,GJ 9066 b,Flags(lculated Temperature'),System('GJ 9066'),,,,,,,,RV,2020,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['Gaia DR2 76868614540049408 b', 'GJ 83.1 b', 'GJ 9066 b']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 9066 b')>,0.09722 M_j,0.403 au,241.883 d,204.0 deg,,0.18,4.47 pc,,30d03m14.3415s,13d03m07.0212s,Star('GJ 9066'),Star('GJ 9066')
290,GJ 9066 c,Flags(lculated Temperature'),System('GJ 9066'),,,,,,,,RV,2020,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,['GJ 9066 c'],['Confirmed planets'],<bound method Planet.type of Planet('GJ 9066 c')>,0.22528 M_j,0.87 au,767.887 d,278.0 deg,,0.33,4.47 pc,,30d03m14.3415s,13d03m07.0212s,Star('GJ 9066'),Star('GJ 9066')
291,GJ 96 b,Flags(lculated Temperature'),System('GJ 96'),,,,,,,,RV,2018,This planet was discovered by Hobson et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Hobson et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 11048 b', 'Gaia DR2 354077348697687424 b', 'TYC 3298-1434-1 b', 'GJ 96 b']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 96 b')>,0.06186 M_j,0.291 au,73.94 d,339.58 deg,,0.44,11.94 pc,,35d33m39.66s,47d52m48.1102s,Star('GJ 96'),Star('GJ 96')
292,GJ 9827 b,Flags(lculated Temperature'),System('GJ 9827'),0.141 R_j,86.07 deg,,,2457738.82586 JD,,,transit,2017,This planet was discovered by Niraula et al. 2017. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rice et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 115752 b', 'Gaia DR2 2643842302456085888 b', 'GJ 9827 b']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 9827 b')>,0.01545 M_j,0.0188 au,,,,0.0,29.69 pc,1185.5028043222535 K,351d46m12.564s,-1d17m10.5856s,Star('GJ 9827'),Star('GJ 9827')
293,GJ 9827 c,Flags(lculated Temperature'),System('GJ 9827'),0.111 R_j,88.19 deg,,,2457742.1993 JD,,,transit,2017,This planet was discovered by Niraula et al. 2017. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rice et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 115752 c', 'Gaia DR2 2643842302456085888 c', 'GJ 9827 c']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 9827 c')>,0.00264 M_j,0.03925 au,,,,0.0,29.69 pc,820.4680612600392 K,351d46m12.564s,-1d17m10.5856s,Star('GJ 9827'),Star('GJ 9827')
294,GJ 9827 d,Flags(lculated Temperature'),System('GJ 9827'),0.18 R_j,87.443 deg,,,2457740.96115 JD,,,transit,2017,This planet was discovered by Niraula et al. 2017. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rice et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 115752 d', 'Gaia DR2 2643842302456085888 d', 'GJ 9827 d']",['Confirmed planets'],<bound method Planet.type of Planet('GJ 9827 d')>,0.01271 M_j,0.05591 au,,,,0.0,29.69 pc,687.4431109582788 K,351d46m12.564s,-1d17m10.5856s,Star('GJ 9827'),Star('GJ 9827')
295,Gl 378 b,Flags(),System('Gl 378'),,,,,,,,RV,2019,This planet was discovered by Hobson et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Hobson et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 49189 b', 'GJ 378 b', 'TYC 3437-85-1 b', 'Gaia DR2 823228721066990720 b', 'Gl 378 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gl 378 b')>,0.04097 M_j,0.039435 au,3.822 d,210.6 deg,,0.109,14.96 pc,830.0 K,150d35m26.274s,48d05m19.6871s,Star('Gl 378'),Star('Gl 378')
296,Gl 686 b,Flags(lculated Temperature'),System('Gl 686'),,,,,2450606.8 JD,,,RV,2018,This planet was discovered by Affer et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Lalitha et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HIP 86287 b', 'Gaia DR2 4550763526539955712 b', 'GJ 686 b', 'TYC 1555-1029-1 b', 'Gl 686 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gl 686 b')>,0.02089 M_j,0.0917 au,,,,0.077,8.16 pc,379.0469894151581 K,264d28m20.2005s,18d35m30.1607s,Star('Gl 686'),Star('Gl 686')
297,Gliese 1214 b,Flags(),System('Gliese 1214'),0.2525 R_j,88.47 deg,,,2454980.749 JD,,,transit,2009,"Gliese 1214 is a red dwarf in the constellation Ophiuchus only 40 light years away. The planet was found with a 40cm telescope and commercially available cameras. New observations from NASA's Hubble Space Telescope show that it is a waterworld enshrouded by a thick, steamy atmosphere. GJ1214b represents a new type of planet, like nothing seen in our solar system or any other planetary system currently known.","['GJ 1214 b', 'Gj 1214 b', 'Gl 1214 b', 'Gaia DR2 4393265392167891712 b', 'Gliese 1214 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 1214 b')>,0.0195 M_j,0.01488 au,,,,0.0,14.55 pc,604.0 K,258d49m44.0055s,4d57m50.0646s,Star('Gliese 1214'),Star('Gliese 1214')
298,GJ 15 A b,Flags(lculated Temperature'),System('Gliese 15'),,,,,,,,RV,2014,This planet was discovered by Howard et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Pinamonti et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HD 1326 A b', 'HIP 1475 b', 'GJ 15 A b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('GJ 15 A b')>,0.00953 M_j,0.072 au,11.4407 d,55.0 deg,,0.094,3.587 pc,399.49870031567684 K,,,Star('Gliese 15 A'),Star('Gliese 15 A')
299,GJ 15 A c,Flags(lculated Temperature'),System('Gliese 15'),,,,,,,,RV,2018,This planet was discovered by Pinamonti et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Pinamonti et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HD 1326 A c', 'HIP 1475 c', 'GJ 15 A c']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('GJ 15 A c')>,0.11327 M_j,5.4 au,7600.0 d,-58.4 deg,,0.27,3.587 pc,49.121413614701126 K,,,Star('Gliese 15 A'),Star('Gliese 15 A')
300,Gliese 163 b,Flags(lculated Temperature'),System('Gliese 163'),,,,,,6.359832,,RV,2012,The HARPS team announced the discovery of a planetary system around the star Gliese 163 at this year's IAU conference. The outer planet lies within the habitable zone.,"['GJ 163 b', 'HIP 19394 b', 'LHS 188 b', 'Gaia DR2 4780294722094459904 b', 'TYC 8502-1934-1 b', 'Gliese 163 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 163 b')>,0.033344 M_j,0.0607 au,8.63182 d,70.702992 deg,,0.073,15.0 pc,,62d18m54.9525s,-53d22m23.305s,Star('Gliese 163'),Star('Gliese 163')
301,Gliese 163 c,Flags(),System('Gliese 163'),,,,,,24.522594,,RV,2012,The HARPS team announced the discovery of a planetary system around the star Gliese 163 at this year's IAU conference. Gliese 163 c lies within the habitable zone for a wide range of albedo values and has an equilibrium temperature of 60C (140F).,"['GJ 163 c', 'HIP 19394 c', 'LHS 188 c', 'Gaia DR2 4780294722094459904 c', 'TYC 8502-1934-1 c', 'Gliese 163 c']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 163 c')>,0.021391 M_j,0.1254 au,25.63058 d,227.005878 deg,,0.099,15.0 pc,302.0 K,62d18m54.9525s,-53d22m23.305s,Star('Gliese 163'),Star('Gliese 163')
302,Gliese 163 d,Flags(lculated Temperature'),System('Gliese 163'),,,,,,144.958322,,RV,2013,"The HARPS team announced the discovery of the third planet arounf the M dwarf GJ 163 in a paper posted on June 4th 2013. The systems contains further periodic signals which could me caused by additional planets. However, more data is required to confirm the planetary nature of the signal.","['GJ 163 d', 'HIP 19394 d', 'LHS 188 d', 'Gaia DR2 4780294722094459904 d', 'TYC 8502-1934-1 d', 'Gliese 163 d']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 163 d')>,0.092484 M_j,1.0304 au,,118.258489 deg,,0.373,15.0 pc,,62d18m54.9525s,-53d22m23.305s,Star('Gliese 163'),Star('Gliese 163')
303,Gliese 176 b,Flags(lculated Temperature'),System('Gliese 176'),,,,,,,,RV,2007,Gliese 176 is a red dwarf located in the constellation Taurus. It has half the mass of our Sun. The planet consists mainly of rock but probably has a thick gas atmosphere.,"['GJ 176 b', 'Gj 176 b', 'Gl 176 b', 'HD 285968 b', 'Gaia DR2 3409711211681795584 b', 'TYC 1275-2034-1 b', 'HIP 21932 b', 'Gliese 176 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 176 b')>,0.0264 M_j,0.066 au,8.7836 d,0.0 deg,2454399.79,0.0,9.42 pc,482.3083559265092 K,70d43m56.6245s,18d57m29.4043s,Star('Gliese 176'),Star('Gliese 176')
304,Gliese 179 b,Flags(lculated Temperature'),System('Gliese 179'),,,,,,,,RV,2010,The star Gliese 170 is located in the constellation Orion. The planet was discovered with the Keck Observatory on Mauna Kea in Hawaii.,"['GJ 179 b', 'Gj 179 b', 'Gl 179 b', 'Gaia DR2 3288082758293022848 b', 'TYC 96-602-1 b', 'HIP 22627 b', 'Gliese 179 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 179 b')>,0.82 M_j,2.41 au,2288.0 d,153.0 deg,2455140,0.21,12.29 pc,68.89940172677842 K,73d01m25.9845s,6d28m35.5895s,Star('Gliese 179'),Star('Gliese 179')
305,Gliese 221 b,Flags(lculated Temperature'),System('Gliese 221'),,,,,,131,,RV,2013,"The planets orbiting the K7 star GJ 221 were discovered using publicly available HARPS data. The dataset was complemented with high precision Doppler measurements from Magellan/PFS. The system hosts at least two planets, one hot Super-Earth and one sub-Saturn mass planet.","['GJ 221 b', 'BD-061339 b', 'HIP 27803 b', 'Gaia DR2 3022099969137163904 b', 'TYC 4781-406-1 b', 'Gliese 221 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 221 b')>,0.13 M_j,0.448 au,125.06 d,118.0 deg,,0.24,20.0 pc,,88d15m04.2675s,-5d59m41.442s,Star('Gliese 221'),Star('Gliese 221')
306,Gliese 221 c,Flags(lculated Temperature'),System('Gliese 221'),,,,,,,,RV,2013,"The planets orbiting the K7 star GJ 221 were discovered using publicly available HARPS data. The dataset was complemented with high precision Doppler measurements from Magellan/PFS. The system hosts at least two planets, one hot Super-Earth and one sub-Saturn mass planet.","['GJ 221 c', 'BD-061339 c', 'HIP 27803 c', 'Gaia DR2 3022099969137163904 c', 'TYC 4781-406-1 c', 'Gliese 221 c']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 221 c')>,0.0196 M_j,0.044 au,3.8731 d,94.0 deg,,0.48,20.0 pc,,88d15m04.2675s,-5d59m41.442s,Star('Gliese 221'),Star('Gliese 221')
307,Gliese 3021 A b,Flags(lculated Temperature'),System('Gliese 3021'),,,,,,,,RV,2000,The star Gliese 3021 is a binary star in the constellation of Hydrus.,"['GJ 3021 A b', 'Gj 3021 A b', 'Gl 3021 A b', 'HD 1237 A b', 'HIP 1291 A b', 'Gliese 3021 b', 'GJ 3021 b', 'Gj 3021 b', 'Gl 3021 b', 'HD 1237 b', 'HIP 1291 b', 'Gliese 3021 A b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('Gliese 3021 A b')>,3.37 M_j,0.49 au,,,,0.511,17.62 pc,386.5763243295629 K,,,Star('Gliese 3021 A'),Star('Gliese 3021 A')
308,Gliese 328 b,Flags(lculated Temperature'),System('Gliese 328'),,,,,,,,RV,2013,"Gliese 328 b is an eccentric two Jupiter-mass planet with an orbital period of eleven years. The discovery is based on ten years' worth of radial velocity data from the Hobby-Eberly and Harlan J. Smith telescopes at McDonald Observatory, and from the Keck Telescope at Mauna Kea. It is currently the most massive, longest-period planet discovered around a low-mass dwarf.","['GJ 328 b', 'Gaia DR2 577602496345490176 b', 'HIP 43790 b', 'TYC 213-177-1 b', 'Gliese 328 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 328 b')>,2.3 M_j,4.5 au,4100.0 d,290.0 deg,,0.37,19.8 pc,,133d46m54.3285s,1d32m47.4164s,Star('Gliese 328'),Star('Gliese 328')
309,Gliese 3293 b,Flags(lculated Temperature'),System('Gliese 3293'),,,,,2455640.3 JD,,,RV,2014,"Two Neptune-mass planets orbit Gliese 3293, possibly together with a super-Earth planet. Gliese 3293 is a star with high proper motion.","['GJ 3293 b', 'LHS 1672 b', '2MASS J04283571-2510088 b', 'PM 04265-2516 b', 'RAVE J042835.7-251009 b', 'Gaia DR2 4893118771316702720 b', 'Gliese 3293 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 3293 b')>,0.076 M_j,0.1434 au,,,,0.09,18.2 pc,299.5345600782946 K,67d08m55.7865s,-25d10m09.2977s,Star('Gliese 3293'),Star('Gliese 3293')
310,Gliese 3293 d,Flags(lculated Temperature'),System('Gliese 3293'),,,,,2455684.9 JD,,,RV,2014,"Two Neptune-mass planets orbit Gliese 3293, possibly together with a super-Earth planet. Gliese 3293 is a star with high proper motion.","['GJ 3293 d', 'LHS 1672 d', '2MASS J04283571-2510088 d', 'PM 04265-2516 d', 'RAVE J042835.7-251009 d', 'Gaia DR2 4893118771316702720 d', 'Gliese 3293 d']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 3293 d')>,0.07 M_j,0.3644 au,,,,0.37,18.2 pc,187.9024010862244 K,67d08m55.7865s,-25d10m09.2977s,Star('Gliese 3293'),Star('Gliese 3293')
311,Gliese 3293 c,Flags(lculated Temperature'),System('Gliese 3293'),,,,,2455643.3 JD,,,RV,2014,"Two Neptune-mass planets orbit Gliese 3293, possibly together with a super-Earth planet. Gliese 3293 is a star with high proper motion.","['GJ 3293 c', 'LHS 1672 c', '2MASS J04283571-2510088 c', 'PM 04265-2516 c', 'RAVE J042835.7-251009 c', 'Gaia DR2 4893118771316702720 c', 'Gliese 3293 c']",['Controversial'],<bound method Planet.type of Planet('Gliese 3293 c')>,0.027 M_j,0.1939 au,,,,0.13,18.2 pc,241.90591737030235 K,67d08m55.7865s,-25d10m09.2977s,Star('Gliese 3293'),Star('Gliese 3293')
312,Gliese 3341 b,Flags(lculated Temperature'),System('Gliese 3341'),,,,,2455622.7 JD,,,RV,2014,Gliese 3341 is a star with high proper motion and is orbited by a super-Earth planet.,"['GJ 3341 b', 'LHS 1748 b', '2MASS J05154667-3117456 b', 'PM 05138-3121 b', 'RAVE J051546.7-311746 b', 'Gaia DR2 4827532078086044416 b', 'Gliese 3341 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 3341 b')>,0.02 M_j,0.089 au,,,,0.31,23.2 pc,380.79579470606217 K,78d56m40.7445s,-31d17m45.316s,Star('Gliese 3341'),Star('Gliese 3341')
313,Gliese 3470 b,Flags(),System('Gliese 3470'),0.346 R_j,88.12 deg,,,2455983.70472 JD,,,transit,2012,The planet Gliese 3470 b is a transiting Hot Uranus orbiting a nearby M-dwarf. The planet was originally seen in HARPS radial velocity data and then confirmed to be a transiting planet. Spitzer observations show that it has a very low density.,"['GJ 3470 b', 'LP 424-4', '2MASS J07590587+1523294', 'Gaia DR2 654687847820642560 b', 'Gliese 3470 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 3470 b')>,0.0432 M_j,0.031 au,3.3366487 d,1.7 deg,,0.017,30.7 pc,702.0 K,119d46m27.5925s,15d23m29.24s,Star('Gliese 3470'),Star('Gliese 3470')
314,Gliese 3634 b,Flags(),System('Gliese 3634'),,59.0 deg,,,,,,RV,2011,,"['GJ 3634 b', 'Gj 3634 b', 'Gl 3634 b', 'Gaia DR2 5452743423618768000 b', 'Gliese 3634 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 3634 b')>,0.022 M_j,0.0287 au,,,,0.08,19.8 pc,565.4 K,164d38m46.323s,-31d08m38.2013s,Star('Gliese 3634'),Star('Gliese 3634')
315,Gliese 436 b,Flags(lculated Temperature'),System('Gliese 436'),0.361 R_j,86.858 deg,,,2454865.084034 JD,,,transit,2004,The star Gliese 436 is located in the constellation Leo. Due to tidal forces the planet Gliese 436b is expected to circularise on short timescales. It might be perturbed by an additional planet in the system.,"['GJ 436 b', 'Gl 436 b', 'TYC 1984-2613-1 b', 'Gaia DR2 4017860992519744384 b', 'HIP 57087 b', 'Gliese 436 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 436 b')>,0.07992 M_j,0.0286 au,2.64389803 d,327.2 deg,,0.1616,9.748 pc,709.7360344320477 K,175d32m46.398s,26d42m23.658s,Star('Gliese 436'),Star('Gliese 436')
316,UCF-1.01,"Flags(lculated Temperature', 'Calculated SMA')",System('Gliese 436'),0.0589 R_j,85.17 deg,,,2455772.8086 JD,,,transit,2012,"The star Gliese 436 is located in the constellation Leo. While observing the already known planet Gliese 436 b with the Spitzer Space Telescope, astronomers identified two sub-Earth sized candidates, UCF-1.01 and UCF-1.02. Follow-up observations by Stevenson et al. (2014) failed to find the planet.",['UCF-1.01'],['Controversial'],<bound method Planet.type of Planet('UCF-1.01')>,,,,,,,9.748 pc,831.0107534042968 K,175d32m46.398s,26d42m23.658s,Star('Gliese 436'),Star('Gliese 436')
317,UCF-1.02,Flags(lculated Temperature'),System('Gliese 436'),0.058 R_j,,,,2455225.026 JD,,,transit,2012,"The planet candidate UCF-1.02 was identified based on the detection of two possible transits separated by 151 days. This is insufficient to determine an orbital period, and the candidate has not been confirmed.",['UCF-1.02'],['Controversial'],<bound method Planet.type of Planet('UCF-1.02')>,,,,,,,9.748 pc,,175d32m46.398s,26d42m23.658s,Star('Gliese 436'),Star('Gliese 436')
318,Gliese 49 b,Flags(lculated Temperature'),System('Gliese 49'),,,,,,,,RV,2019,"The observations of this super-Earth were made with the Italian TNG, operated on the island of La Palma, Spain; the CARMENES instrument installed at the 3.5 m telescope of the Calar Alto Observatory, Spain; the robotic APT2 located at Serra La Nave on Mt. Etna, Italy; and the T90 telescope at Sierra Nevada Observatory, Spain.","['Gl 49 b', 'HIP 4872 b', 'Gaia DR2 522863309964987520 b', 'TYC 4021-1115-1 b', 'GJ 49 b', 'Gliese 49 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 49 b')>,0.01771 M_j,0.0905 au,13.8508 d,43.0 deg,,0.363,9.86 pc,436.74869413016006 K,15d39m43.0185s,62d20m42.1728s,Star('Gliese 49'),Star('Gliese 49')
319,Gliese 504 b,Flags(),System('Gliese 504'),0.96 R_j,,43.5 au,,,,,imaging,2013,"Gliese 504 b is a massive planet or brown dwarf orbiting a G-type star. Initial estimates of the system's age based on the rotation of the star suggested the object was around 4 Jupiter masses. Other properties of the star indicate that it is likely several billions of years old, resulting in higher mass estimates for the companion. The rapid rotation may have been caused by the star engulfing a hot Jupiter.","['GJ 504 b', 'HIP 64792 b', 'HD 115383 b', 'Gaia DR2 3732539683617410816 b', 'TYC 891-624-1 b', 'Gliese 504 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 504 b')>,30.0 M_j,,,,,,17.56 pc,544.0 K,199d11m37.7394s,9d25m26.959s,Star('Gliese 504'),Star('Gliese 504')
320,Gliese 581 b,Flags(),System('Gliese 581'),,,,,,,,RV,2005,"Gliese 581 is a red dwarf in the constellation Libra. It is the 89th closest star to the Solar System. In late 2010, US astronomers annoucent a planet in the habitable zone. This statement has been challenged by the European HARPS team. Gliese 581 c is likely to have a runaway greenhouse effect. A radio message has been sent to Gliese 581 in 2008 and will reach the star system in 2029.","['GJ 581 b', 'Gj 581 b', 'Gl 581 b', 'Gaia DR2 6322070093095493504 b', 'TYC 5594-1093-1 b', 'HIP 74995 b', 'Gliese 581 b']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 581 b')>,0.049702 M_j,0.04061 au,,,,0.03,6.21 pc,419.2 K,229d51m42.4065s,-7d43m20.1909s,Star('Gliese 581'),Star('Gliese 581')
321,Gliese 581 c,Flags(),System('Gliese 581'),,,,,,,,RV,2007,"Gliese 581 is a red dwarf in the constellation Libra. It is the 89th closest star to the Solar System. In late 2010, US astronomers annoucent a planet in the habitable zone. This statement has been challenged by the European HARPS team. Gliese 581 c is likely to have a runaway greenhouse effect. A radio message has been sent to Gliese 581 in 2008 and will reach the star system in 2029.","['GJ 581 c', 'Gj 581 c', 'Gl 581 c', 'Gaia DR2 6322070093095493504 c', 'TYC 5594-1093-1 c', 'HIP 74995 c', 'Gliese 581 c']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 581 c')>,0.017301 M_j,0.0721 au,,,,0.06,6.21 pc,312.7 K,229d51m42.4065s,-7d43m20.1909s,Star('Gliese 581'),Star('Gliese 581')
322,Gliese 581 d,Flags(),System('Gliese 581'),,,,,,,,RV,2007,A new analysis shows that there is no signal of the planet Gliese 581 d after stellar activity reduction.,"['GJ 581 d', 'Gj 581 d', 'Gl 581 d', 'Gaia DR2 6322070093095493504 d', 'TYC 5594-1093-1 d', 'HIP 74995 d', 'Gliese 581 d']",['Retracted planet candidate'],<bound method Planet.type of Planet('Gliese 581 d')>,0.019 M_j,0.22 au,,,,0.25,6.21 pc,181.0 K,229d51m42.4065s,-7d43m20.1909s,Star('Gliese 581'),Star('Gliese 581')
323,Gliese 581 e,Flags(),System('Gliese 581'),,,,,,,,RV,2009,"Gliese 581 is a red dwarf in the constellation Libra. It is the 89th closest star to the Solar System. In late 2010, US astronomers annoucent a planet in the habitable zone. This statement has been challenged by the European HARPS team. Gliese 581 c is likely to have a runaway greenhouse effect. A radio message has been sent to Gliese 581 in 2008 and will reach the star system in 2029.","['GJ 581 e', 'Gj 581 e', 'Gl 581 e', 'Gaia DR2 6322070093095493504 e', 'TYC 5594-1093-1 e', 'HIP 74995 e', 'Gliese 581 e']",['Confirmed planets'],<bound method Planet.type of Planet('Gliese 581 e')>,0.0061 M_j,0.02815 au,,,,0.06,6.21 pc,500.8 K,229d51m42.4065s,-7d43m20.1909s,Star('Gliese 581'),Star('Gliese 581')
324,Gliese 581 f,Flags(lculated Temperature'),System('Gliese 581'),,,,,,,,RV,2010,Gliese 581 f is an unconfirmed planet. Its discovery was announced in 2010 by the Lick-Carnegie Exoplanet Survey. However an analysis by the European HARPS team concluded that the system is unlikely to contain a planet with the quoted characteristic.,"['GJ 581 f', 'Gj 581 f', 'Gl 581 f', 'Gaia DR2 6322070093095493504 f', 'TYC 5594-1093-1 f', 'HIP 74995 f', 'Gliese 581 f']",['Retracted planet candidate'],<bound method Planet.type of Planet('Gliese 581 f')>,0.0220199 M_j,0.758 au,,,,0.0,6.21 pc,106.4049875546036 K,229d51m42.4065s,-7d43m20.1909s,Star('Gliese 581'),Star('Gliese 581')
