,name,flags,system,radius,orbital_inclination,seperation,age,transit_time,longitude,ascending_node,discovery_method,discovery_year,description ,alt_names,list,type,mass,semi_major_axis,orbital_period,periastron,periastron_time,eccentricity,distance,temp,right_ascension,declination,parent_obj,star
3135,Kepler-445 b,Flags(lculated Temperature'),System('Kepler-445'),0.143986 R_j,89.74 deg,,,2454966.1194 JD,,,transit,2015,Kepler-445 is an M-dwarf with transit signals of three short-period planets.,"['KOI-2704 b', 'KOI-2704.02', 'KIC 9730163 b', 'KIC 9730163.02', 'Gaia DR2 2085482775729637376 b', 'Kepler-445 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-445 b')>,0.018874 M_j,0.102 au,,,,,90.0 pc,219.02833357684764 K,298d44m09.8865s,46d29m54.7963s,Star('Kepler-445'),Star('Kepler-445')
3136,Kepler-445 c,Flags(lculated Temperature'),System('Kepler-445'),0.228737 R_j,89.91 deg,,,2454966.6408 JD,,,transit,2015,Kepler-445 is an M-dwarf with transit signals of three short-period planets.,"['KOI-2704 c', 'KOI-2704.01', 'KIC 9730163 c', 'KIC 9730163.01', 'Gaia DR2 2085482775729637376 c', 'Kepler-445 c']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-445 c')>,0.028311 M_j,0.141 au,,,,,90.0 pc,186.29055154266635 K,298d44m09.8865s,46d29m54.7963s,Star('Kepler-445'),Star('Kepler-445')
3137,Kepler-445 d,Flags(lculated Temperature'),System('Kepler-445'),0.113913 R_j,89.61 deg,,,2454836.7512226 JD,,,transit,2015,Kepler-445 is an M-dwarf with transit signals of three short-period planets.,"['KOI-2704 d', 'KIC 9730163 d', 'KOI-2704.03', 'Gaia DR2 2085482775729637376 d', 'Kepler-445 d']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-445 d')>,0.012583 M_j,0.2 au,,,,,90.0 pc,156.4175168062066 K,298d44m09.8865s,46d29m54.7963s,Star('Kepler-445'),Star('Kepler-445')
3138,Kepler-446 b,Flags(lculated Temperature'),System('Kepler-446'),0.136695 R_j,87.42 deg,,,2454965.9135 JD,,,transit,2015,Kepler-446 is an M-dwarf with transit signals of three short-period planets.,"['KOI-2842 b', 'KOI-2842.01', 'KIC 8733898 b', 'KIC 8733898.01', 'Gaia DR2 2106929849536047744 b', 'Kepler-446 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-446 b')>,0.015729 M_j,0.067 au,,,,,120.0 pc,307.3932869860166 K,282d15m00.6495s,44d55m15.9792s,Star('Kepler-446'),Star('Kepler-446')
3139,Kepler-446 c,Flags(lculated Temperature'),System('Kepler-446'),0.101155 R_j,88.97 deg,,,2454967.069573 JD,,,transit,2015,Kepler-446 is an M-dwarf with transit signals of three short-period planets.,"['KOI-2842 c', 'KOI-2842.03', 'KIC 8733898 c', 'KIC 8733898.03', 'Gaia DR2 2106929849536047744 c', 'Kepler-446 c']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-446 c')>,0.012583 M_j,0.104 au,,,,,120.0 pc,246.72610949797163 K,282d15m00.6495s,44d55m15.9792s,Star('Kepler-446'),Star('Kepler-446')
3140,Kepler-446 d,Flags(lculated Temperature'),System('Kepler-446'),0.123026 R_j,88.72 deg,,,2454966.3196 JD,,,transit,2015,Kepler-446 is an M-dwarf with transit signals of three short-period planets.,"['KOI-2842 d', 'KOI-2842.02', 'KIC 8733898 d', 'KIC 8733898.02', 'Gaia DR2 2106929849536047744 d', 'Kepler-446 d']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-446 d')>,0.015729 M_j,0.147 au,,,,,120.0 pc,207.52628557766712 K,282d15m00.6495s,44d55m15.9792s,Star('Kepler-446'),Star('Kepler-446')
3141,Kepler-447 b,Flags(lculated Temperature'),System('Kepler-447'),1.65 R_j,86.55 deg,,,,,,transit,2015,Kepler-447 b is a hot Jupiter with an extremely grazing transit.,"['KIC 11017901 b', 'KOI-1800.01', 'KOI-1800 b', '2MASS J19010446+4833360 b', 'Gaia DR2 2131587531660567296 b', 'Kepler-447 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-447 b')>,1.37 M_j,0.0769 au,,,,0.123,270.117 pc,952.3727148313241 K,285d16m06.8355s,48d33m35.9446s,Star('Kepler-447'),Star('Kepler-447')
3142,Kepler-449 b,Flags(lculated Temperature'),System('Kepler-449'),0.1834 R_j,,,,2455008.02202 JD,,,transit,2015,Kepler-449 b is a planet orbiting one of the two components of the binary star KOI-270.,"['KOI-270.01', 'KOI-270 b', 'KIC 6528464 b', 'Kepler-449 b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('Kepler-449 b')>,,0.105 au,,,,0.03,,1044.7869266913763 K,,,Star('Kepler-449 A'),Star('Kepler-449 A')
3143,Kepler-449 c,Flags(lculated Temperature'),System('Kepler-449'),0.2466 R_j,,,,2454995.03824 JD,,,transit,2015,Kepler-449 c is a planet orbiting one of the two components of the binary star KOI-270.,"['KOI-270.02', 'KOI-270 c', 'KIC 6528464 c', 'Kepler-449 c']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('Kepler-449 c')>,,0.202 au,,,,0.05,,753.26310219994 K,,,Star('Kepler-449 A'),Star('Kepler-449 A')
3144,Kepler-44 b,Flags(lculated Temperature'),System('Kepler-44'),1.09 R_j,84.96 deg,,,2455187.1564 JD,,,transit,2011,,"['KOI-204 b', 'KOI-204.01', '2MASS J20002456+4545437 b', 'KIC 9305831 b', 'Gaia DR2 2085222191474854656 b', 'Kepler-44 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-44 b')>,1.0 M_j,0.0446 au,,,,0.066,1229.1 pc,1642.9703326289266 K,300d06m08.484s,45d45m43.7628s,Star('Kepler-44'),Star('Kepler-44')
3145,Kepler-450 b,Flags(lculated Temperature'),System('Kepler-450'),0.548 R_j,,,,2455009.705841 JD,,,transit,2015,Kepler-450 b is a planet orbiting the brighter member of the binary star KOI-279.,"['Kepler-450 A b', 'KOI-279.01', 'KOI-279 A b', 'KIC 12314973 A b', 'KOI-279 b', 'KIC 12314973 b', 'Kepler-450 b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('Kepler-450 b')>,,0.201 au,,,,0.02,,1012.4214849826022 K,,,Star('Kepler-450 A'),Star('Kepler-450 A')
3146,Kepler-450 c,Flags(lculated Temperature'),System('Kepler-450'),0.234 R_j,,,,2454969.94232 JD,,,transit,2015,Kepler-450 c is a planet orbiting the brighter member of the binary star KOI-279.,"['Kepler-450 A c', 'KOI-279.02', 'KOI-279 A c', 'KIC 12314973 A c', 'KOI-279 c', 'KIC 12314973 c', 'Kepler-450 c']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('Kepler-450 c')>,,0.134 au,,,,0.02,,1164.4500532639615 K,,,Star('Kepler-450 A'),Star('Kepler-450 A')
3147,Kepler-450 d,Flags(lculated Temperature'),System('Kepler-450'),0.0747 R_j,,,,2454969.1745 JD,,,transit,2015,Kepler-450 d is a planet orbiting the brighter member of the binary star KOI-279.,"['Kepler-450 A d', 'KOI-279.03', 'KOI-279 A d', 'KOI-279 d', 'KIC 12314973 d', 'Kepler-450 d']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('Kepler-450 d')>,,0.083 au,,,,0.14,,1479.5655751101008 K,,,Star('Kepler-450 A'),Star('Kepler-450 A')
3148,Kepler-452 b,Flags(),System('Kepler-452'),0.148542 R_j,89.806 deg,,,,,,transit,2015,"Kepler-452 b is about 60% larger in size than Earth and located in the habitable zone of a Sun-like star located 1400 light years away. At the speed of New Horizons, the fastest spacecraft yet launched by humanity, it would take over 25 million years to get there. The planet orbits its host star every 385 days. With an age of 6 billion years it is roughly 1.5 billion years older than our Sun.","['KIC 8311864 b', 'KOI-7016.01', 'KOI-7016 b', 'Gaia DR2 2079597124345617280 b', 'Kepler-452 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-452 b')>,,1.046 au,,,,,430.0 pc,265.0 K,296d00m13.29s,44d16m39.1704s,Star('Kepler-452'),Star('Kepler-452')
3149,Kepler-454 b,Flags(lculated Temperature'),System('Kepler-454'),0.2114 R_j,87.09 deg,,,2455008.0675855 JD,,,transit,2015,Kepler-454 b is a small but non-rocky planet orbiting the star every 10.6 days. Its mass has been determined using radial velocities from HARPS-N.,"['KOI-273.01', 'KOI-273 b', 'KIC 3102384 b', 'Gaia DR2 2099541715513813504 b', 'TYC 3120-1368-1 b', 'Kepler-454 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-454 b')>,0.02152 M_j,0.0954 au,,,,0.0,200.0 pc,919.1868418791678 K,287d28m42.699s,38d13m43.9218s,Star('Kepler-454'),Star('Kepler-454')
3150,Kepler-454 c,Flags(lculated Temperature'),System('Kepler-454'),,,,,,,,RV,2015,"Kepler-454 c is a jovian planet orbiting a metal-rich, solar-type star at 1.2 AU. Its presence was detected using radial velocities from HARPS-N.","['KOI-273 c', 'KIC 3102384 c', 'Gaia DR2 2099541715513813504 c', 'TYC 3120-1368-1 c', 'Kepler-454 c']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-454 c')>,4.46 M_j,1.286 au,523.9 d,337.4 deg,2454892,0.0214,200.0 pc,266.58985548533786 K,287d28m42.699s,38d13m43.9218s,Star('Kepler-454'),Star('Kepler-454')
3151,Kepler-454 d,Flags(lculated Temperature'),System('Kepler-454'),,,,,,,,RV,2015,The presence of a third planet in the Kepler-454 system is inferred from a trend in the HARPS-N radial velocities. The limits are given assuming a circular orbit.,"['KOI-273 d', 'KIC 3102384 d', 'Gaia DR2 2099541715513813504 d', 'TYC 3120-1368-1 d', 'Kepler-454 d']",['Controversial'],<bound method Planet.type of Planet('Kepler-454 d')>,12.1 M_j,4.7 au,,,,,200.0 pc,139.44892624666414 K,287d28m42.699s,38d13m43.9218s,Star('Kepler-454'),Star('Kepler-454')
3152,Kepler-45 b,Flags(),System('Kepler-45'),0.96 R_j,87.0 deg,,,2455003.821008 JD,,,transit,2011,"KOI-254 b was originally discovered by the Kepler spacecraft. It has now been confirmed to be a planet by radial velocity measurements, adaptive optics imaging and spectroscopy. The host star is an M-type dwarf star, just over half the size of our own sun. KOI-254 b is the first hot Jupiter that has been found around such a low mass star.","['KOI-254 b', 'KOI-254.01', 'KIC 5794240 b', 'Gaia DR2 2053562475706063744 b', 'Kepler-45 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-45 b')>,0.505 M_j,0.027 au,,,,0.11,333.0 pc,774.0 K,292d52m22.449s,41d03m51.3563s,Star('Kepler-45'),Star('Kepler-45')
3153,Kepler-461 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-461'),0.23 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-49 b', 'KOI-49.01', 'KIC 9527334 b', 'Gaia DR2 2126801563705846528 b', 'Kepler-461 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-461 b')>,,,,,,,706.265 pc,919.9374181775047 K,292d14m56.505s,46d09m53.4087s,Star('Kepler-461'),Star('Kepler-461')
