,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
815,F9.5V,5945.0 K,-0.24,"['TYC 9175-83-1', 'Gaia DR2 4650314511916109696', 'HIP 26380', 'Bubup']",1.085 M_s,,7.26,5.339,8.35,5.645,5.267,6.7,,,,37.7 pc,,84d15m30.252s,-73d41m57.6448s,System('HD 38283'),[Planet('HD 38283 b')],[],Cold Jupiter,,,,,,,,,HD 38283,Flags(),System('HD 38283'),,,6380.0,8283.0,,
816,G4 IV,,0.27,['138 G. Orionis A'],1.48 M_s,,6.684,4.38,5.1,4.91,4.21,5.94,,,,39.28 pc,,,,Binary('HD 38529'),"[Planet('HD 38529 A b'), Planet('HD 38529 A c')]",[],Warm Jupiter,Cold Jupiter,,,,,,,,HD 38529 A,Flags(lculated Temperature'),System('HD 38529'),2.44 R_s,,,8529.0,,
817,M3.0V,,,[],0.5 M_s,,,,,,,,,,,39.28 pc,,,,Binary('HD 38529'),[],[],,,,,,,,,,HD 38529 B,Flags(),System('HD 38529'),,,,8529.0,,
818,K0,5338.0 K,0.25,"['HIP 27384', 'Gaia DR2 3012677738601895168', 'TYC 5347-367-1']",1.21 M_s,,9.14,6.372,,6.8,6.279,8.224,,,,91.68 pc,,86d59m47.634s,-8d19m39.7194s,System('HD 38801'),[Planet('HD 38801 b')],[],Cold Jupiter,,,,,,,,,HD 38801,Flags(),System('HD 38801'),2.03 R_s,,7384.0,8801.0,,
819,G4V,5940.0 K,,"['Gaia DR2 3023711269067191296', 'TYC 4776-1306-1', 'GJ 1085', 'HIP 27435']",,,6.59,4.595,,5.26,4.405,5.97,,,,15.2 pc,,87d08m44.1015s,-4d05m40.7195s,System('HD 38858'),[Planet('HD 38858 b')],[],Cold Jupiter,,,,,,,,,HD 38858,Flags(),System('HD 38858'),,,7435.0,8858.0,,GJ 1085
820,G0V,6037.0 K,0.08,"['π Mensae', 'π Men', 'Pi Men', 'Pi Mensae', 'HIP 26394', 'TYC 9386-2614-1', 'Gaia DR1 4623036826718164480', 'Gaia DR2 4623036865373793408', 'GJ 9189', 'HR 2022', 'CD-80 195', 'CPD-80 161', 'SAO 258421', 'TIC 261136679', 'TOI 144', '2MASS J05370988-8028090']",1.094 M_s,,6.25,4.42,,4.87,4.241,5.67,,,,18.27 pc,,84d17m28.2768s,-80d28m08.8313s,System('HD 39091'),"[Planet('HD 39091 b'), Planet('π Mensae c')]",[],Cold Jupiter,Warm Super-Earth,,,,,,,,HD 39091,Flags(),System('HD 39091'),1.1 R_s,2.98 Gyr,6394.0,9091.0,22.0,GJ 9189
821,K0V,5150.0 K,,"['Gaia DR2 4657193606465368704', 'HIP 27080', 'TYC 9167-835-1', 'GJ 217.2', 'GJ 9191']",,,8.841,6.212,,6.598,6.094,8.08,,,,25.9 pc,,86d07m58.7745s,-70d08m36.8567s,System('HD 39194'),"[Planet('HD 39194 b'), Planet('HD 39194 c'), Planet('HD 39194 d')]",[],Warm Super-Earth,Cold Super-Earth,Cold Super-Earth,,,,,,,HD 39194,Flags(),System('HD 39194'),,,7080.0,9194.0,,GJ 217.2
822,F8,5951.0 K,-0.32,"['HIP 27828', 'TYC 1324-2545-1', 'BD+22 1080', '2MASS J05531899+2204197', 'SAO 77679', 'Gaia DR2 3424193536079703808']",1.08 M_s,,8.94,7.012,,7.28,6.946,8.38,,,,105.2 pc,,88d19m44.928s,22d04m19.7474s,System('HD 39392'),[Planet('HD 39392 b')],[],None Jupiter,,,,,,,,,HD 39392,Flags(),System('HD 39392'),,,7828.0,9392.0,,
823,G8V,5576.0 K,,"['HIP 27922 A', 'TYC 5939-2257-1', 'HIP 27922', 'Gaia DR2 2966316109264052096']",0.87 M_s,,8.197,5.836,6.63,6.207,5.756,7.47,,,,23.28 pc,,88d37m32.334s,-19d42m15.6307s,System('HD 39855'),[Planet('HD 39855 b')],[],None Super-Earth,,,,,,,,,HD 39855,Flags(),System('HD 39855'),,,7922.0,9855.0,,
824,K2.5V,4977.0 K,-0.31,"['HIP 27887', 'TYC 8892-1247-1', 'GJ 2046', 'CD-60 1303', 'CPD-60 508', 'SAO 249388', '2MASS J05540421-6001245', 'Gaia DR2 4758877919212831104']",0.77 M_s,,8.097,4.968,6.119,5.412,4.793,7.17,,,,12.995 pc,,88d31m03.5987s,-60d01m24.4977s,System('HD 40307'),"[Planet('HD 40307 b'), Planet('HD 40307 c'), Planet('HD 40307 d'), Planet('HD 40307 e'), Planet('HD 40307 f'), Planet('HD 40307 g')]",[],None Super-Earth,None Super-Earth,None Super-Earth,None Super-Earth,None Super-Earth,None Super-Earth,,,,HD 40307,Flags(),System('HD 40307'),,,7887.0,307.0,,GJ 2046
825,K0,4869.0 K,0.14,"['HIP 28951', 'TYC 4099-1626-1', 'Gaia DR2 1008018211509401728']",2.0 M_s,,,4.177,,4.851,4.143,6.423,,,,116.99 pc,,91d39m47.316s,63d27m13.8161s,System('HD 40956'),[Planet('HD 40956 b')],[],Cold Jupiter,,,,,,,,,HD 40956,Flags(),System('HD 40956'),8.56 R_s,,8951.0,956.0,,
826,K5,,,['BD +44 1351'],0.833 M_s,,,,,,,,,,,33.3 pc,,,,Binary('HD 40979'),[],[],,,,,,,,,,HD 40979 B,Flags(),System('HD 40979'),,1.0 Gyr,,979.0,,
827,,,,[],0.38 M_s,,,,,,,,,,,33.3 pc,,,,Binary('HD 40979'),[],[],,,,,,,,,,HD 40979 C,Flags(),System('HD 40979'),,1.0 Gyr,,979.0,,
828,F8 V,,0.194,"['HIP 28767 A', '2MASS J06042993+4415379 A', 'BD +44 1353']",1.1 M_s,,7.29,5.51,6.1,5.74,5.45,6.74,,,,33.3 pc,,,,Binary('HD 40979'),[Planet('HD 40979 A b')],[],Cold Jupiter,,,,,,,,,HD 40979 A,Flags(lculated Temperature'),System('HD 40979'),1.21 R_s,1.0 Gyr,8767.0,979.0,,
829,K1V,,,[],0.7 M_s,,,,,,,,,,,43.03 pc,,,,Binary('HD 41004'),[],[],,,,,,,,,,HD 41004 B,Flags(),System('HD 41004'),,,,1004.0,,
830,,,,[],0.018141 M_s,,,,,,,,,,,43.03 pc,,,,Binary('HD 41004'),[],[],,,,,,,,,,HD 41004 B b,Flags(),System('HD 41004'),,,,1004.0,,
831,M2,5035.0 K,-0.09,[],0.4 M_s,,9.49,6.55,,7.004,6.43,12.33,,,,43.03 pc,,,,Binary('HD 41004'),[Planet('HD 41004 A b')],[],Cold Jupiter,,,,,,,,,HD 41004 A,Flags(),System('HD 41004'),,,,1004.0,,
832,G5V,5688.0 K,0.2,"['HIP 3391', 'TYC 7532-852-1', 'CD-38 223 A', 'CPD-38 54 A', '2MASS J00431259-3758574', 'SAO 192693', 'WDS J00432-3759 A']",1.05 M_s,,8.61,6.345,,6.672,6.289,7.88,,,,41.7 pc,,,,Binary('HD 4113 AC'),[Planet('HD 4113 b')],[],None Jupiter,,,,,,,,,HD 4113 A,Flags(),System('HD 4113'),,5.0 Gyr,391.0,113.0,,
833,T9,600.0 K,,"['CD-38 223 C', 'CPD-38 54 C']",0.06279 M_s,,,19.7,,21.6,,,,,,41.7 pc,,,,Binary('HD 4113 AC'),[],[],,,,,,,,,,HD 4113 C,Flags(),System('HD 4113'),0.154 R_s,,,113.0,,
834,M0-1V,3833.0 K,,"['CD-38 223 B', 'CPD-38 54 B', '2MASS J00431189-3758092', 'WDS J00432-3759 B']",0.55 M_s,,14.19,8.74,10.57,9.447,8.539,12.7,,,,41.7 pc,,,,Binary('HD 4113'),[],[],,,,,,,,,,HD 4113 B,Flags(),System('HD 4113'),,5.0 Gyr,,113.0,,
835,G2V,5713.0 K,-0.43,"['TYC 8525-1231-1', 'HIP 28460', 'Gaia DR2 5499247886390351104']",0.92 M_s,,9.42,7.284,,7.606,7.277,8.82,,,,52.38 pc,,90d08m11.7225s,-56d09m42.5971s,System('HD 41248'),"[Planet('HD 41248 b'), Planet('HD 41248 c')]",[],Cold Neptune,Cold Super-Earth,,,,,,,,HD 41248,Flags(),System('HD 41248'),0.78 R_s,2.0 Gyr,8460.0,1248.0,,
836,K0,5405.0 K,-0.09,"['Gaia DR2 3452333199728743936', 'TYC 2428-934-1', 'HIP 29242']",0.83 M_s,,9.24,6.687,,7.045,6.584,,,,,37.1 pc,,92d29m07.02s,34d08m07.0703s,System('HD 42012'),[Planet('HD 42012 b')],[],Cold Jupiter,,,,,,,,,HD 42012,Flags(),System('HD 42012'),0.82 R_s,4.1 Gyr,9242.0,2012.0,,
837,G5,5702.0 K,0.453,"['HIP 3502', 'TYC 1194-26-1', 'BD+19 117', '2MASS J00444118+2026563', 'SAO 74235', 'Gaia DR2 2801366000472903040']",1.13 M_s,,9.444,7.11,7.9,7.39,7.05,8.687,,,,78.92 pc,,11d10m18.003s,20d26m56.1379s,System('HD 4203'),"[Planet('HD 4203 b'), Planet('HD 4203 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 4203,Flags(),System('HD 4203'),1.33 R_s,,502.0,203.0,,
838,G5 V,5571.0 K,-0.284,"['Cocibolca', 'TYC 6423-1832-1', 'Gaia DR2 2343647384368388608', 'HIP 3479', 'GJ 9024']",0.87 M_s,,8.46,6.24,,6.57,6.163,7.79,,,,33.9 pc,,11d06m39.7605s,-26d30m56.4581s,System('HD 4208'),[Planet('HD 4208 b')],[],Cold Jupiter,,,,,,,,,HD 4208,Flags(),System('HD 4208'),0.85 R_s,,479.0,208.0,,GJ 9024
