,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
1342,,5873.0 K,,"['KOI-115', 'KIC 9579641', '2MASS J19113295+4616344', 'Gaia DR2 2130368310704421120']",1.18 M_s,,,11.555,,11.811,11.503,,,,,488.45 pc,,287d53m14.271s,46d16m34.3849s,System('Kepler-105'),"[Planet('Kepler-105 b'), Planet('Kepler-105 c'), Planet('KOI-115.03')]",[],Warm Super-Earth,Warm Super-Earth,Warm Super-Earth,,,,,,,Kepler-105,Flags(),System('Kepler-105'),1.16 R_s,,,,,
1343,,5797.0 K,-0.03,"['KOI-2024', 'KIC 4544907', '2MASS J19040604+3937513', 'Gaia DR2 2100653527927414272']",0.99 M_s,,,13.088,,13.436,12.96,,,,,972.857 pc,,286d01m30.729s,39d37m51.34s,System('Kepler-1060'),[Planet('Kepler-1060 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1060,Flags(),System('Kepler-1060'),0.99 R_s,,,,,
1344,,6067.0 K,-0.03,"['KOI-2026', 'KIC 11923284', '2MASS J19445520+5016308', 'Gaia DR2 2135301338343246848']",1.09 M_s,,,11.98,,12.21,11.934,,,,,552.029 pc,,296d13m48.0165s,50d16m30.7459s,System('Kepler-1061'),[Planet('Kepler-1061 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1061,Flags(),System('Kepler-1061'),1.07 R_s,,,,,
1345,,4597.0 K,0.11,"['KOI-2031', 'KIC 5940165', '2MASS J18553585+4113177', 'Gaia DR2 2103714637018491136']",0.75 M_s,,,12.444,,13.025,12.333,,,,,402.042 pc,,283d53m57.8715s,41d13m17.7637s,System('Kepler-1062'),[Planet('Kepler-1062 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1062,Flags(),System('Kepler-1062'),0.7 R_s,,,,,
1346,,5945.0 K,0.09,"['KOI-2032', 'KIC 2985767', '2MASS J19220642+3808347']",1.09 M_s,,13.15,10.83,,11.159,10.793,12.44,,,,,,290d31m36.27s,38d08m34.729s,System('Kepler-1063'),[Planet('Kepler-1063 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1063,Flags(),System('Kepler-1063'),1.14 R_s,,,,,
1347,,5153.0 K,0.0,"['KOI-2033', 'KIC 2304320', '2MASS J19265799+3741202', 'Gaia DR2 2051807620790721792']",0.85 M_s,,,11.888,,12.33,11.817,,,,,,,291d44m29.6955s,37d41m19.7172s,System('Kepler-1064'),[Planet('Kepler-1064 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1064,Flags(timated magV'),System('Kepler-1064'),0.79 R_s,,,,,
1348,,5635.0 K,-0.01,"['KOI-2034', 'KIC 3657758', '2MASS J19380270+3847258', 'Gaia DR2 2052203273182353920']",0.94 M_s,,,13.8,,14.178,13.67,,,,,1157.54 pc,,294d30m40.755s,38d47m25.7102s,System('Kepler-1065'),"[Planet('Kepler-1065 b'), Planet('Kepler-1065 c')]",[],Warm Neptune,Warm Super-Earth,,,,,,,,Kepler-1065,Flags(),System('Kepler-1065'),0.93 R_s,,,,,
1349,,5762.0 K,-0.03,"['KOI-2035', 'KIC 9790806', '2MASS J19552797+4630080', 'Gaia DR2 2085502463860057984']",0.98 M_s,,,11.403,,11.783,11.362,,,,,347.693 pc,,298d51m59.6205s,46d30m08.0383s,System('Kepler-1066'),[Planet('Kepler-1066 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1066,Flags(),System('Kepler-1066'),0.98 R_s,,,,,
1350,,5592.0 K,0.03,"['KOI-2039', 'KIC 8804845', '2MASS J19013297+4502565', 'Gaia DR2 2106374557504930944']",0.95 M_s,,,12.778,,13.105,12.66,,,,,680.735 pc,,285d23m14.6835s,45d02m56.5853s,System('Kepler-1067'),[Planet('Kepler-1067 b')],[],Hot Super-Earth,,,,,,,,,Kepler-1067,Flags(),System('Kepler-1067'),0.93 R_s,,,,,
1351,,5806.0 K,0.03,"['KOI-2044', 'KIC 9656252', '2MASS J19383555+4623325', 'Gaia DR2 2128129876831370880']",1.01 M_s,,,,,,,,,,,1536.57 pc,,294d38m53.4225s,46d23m32.4846s,System('Kepler-1068'),[Planet('Kepler-1068 b')],[],Warm Neptune,,,,,,,,,Kepler-1068,Flags(),System('Kepler-1068'),1.01 R_s,,,,,
1352,,5722.0 K,0.04,"['KOI-2046', 'KIC 10663396', '2MASS J19235503+4759204', 'Gaia DR2 2129215369685086080']",0.99 M_s,,,,,,,,,,,710.227 pc,,290d58m45.5925s,47d59m20.3973s,System('Kepler-1069'),[Planet('Kepler-1069 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1069,Flags(),System('Kepler-1069'),0.98 R_s,,,,,
1353,,5858.0 K,-0.12,"['KOI-116', 'KIC 8395660', '2MASS J20032735+4420151', 'Gaia DR2 2082074942519913344']",1.0 M_s,,13.68,11.494,,11.752,11.431,12.98,,,,453.9 pc,,300d51m50.2485s,44d20m15.1908s,System('Kepler-106'),"[Planet('Kepler-106 c'), Planet('Kepler-106 e'), Planet('Kepler-106 b'), Planet('Kepler-106 d')]",[],Warm Neptune,Cold Neptune,Warm Super-Earth,Cold Super-Earth,,,,,,Kepler-106,Flags(),System('Kepler-106'),1.04 R_s,4.83 Gyr,,,,
1354,,6261.0 K,0.03,"['KOI-2047', 'KIC 11457726', '2MASS J19324688+4918594', 'Gaia DR2 2129064874031303936']",1.21 M_s,,,12.701,,12.956,12.68,,,,,965.158 pc,,293d11m43.3215s,49d18m59.5227s,System('Kepler-1070'),[Planet('Kepler-1070 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1070,Flags(),System('Kepler-1070'),1.32 R_s,,,,,
1355,,5215.0 K,0.01,"['KOI-2048', 'KIC 8956206', '2MASS J19321391+4514557', 'Gaia DR2 2126514556811478144']",0.86 M_s,,,13.97,,14.371,13.775,,,,,1072.5 pc,,293d03m28.7805s,45d14m55.6384s,System('Kepler-1071'),[Planet('Kepler-1071 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1071,Flags(),System('Kepler-1071'),0.81 R_s,,,,,
1356,,6199.0 K,0.07,"['KOI-2049', 'KIC 9649706', '2MASS J19281065+4619444', 'Gaia DR2 2126806992544494720']",1.2 M_s,,,12.604,,12.852,12.566,,,,,1011.33 pc,,292d02m39.8175s,46d19m44.4445s,System('Kepler-1072'),[Planet('Kepler-1072 b')],[],Hot Super-Earth,,,,,,,,,Kepler-1072,Flags(),System('Kepler-1072'),1.32 R_s,,,,,
1357,,5792.0 K,0.0,"['KOI-2055', 'KIC 3128552', '2MASS J19363664+3813589', 'Gaia DR2 2052069201482198784']",1.0 M_s,,,12.957,,13.332,12.92,,,,,829.05 pc,,294d09m09.7185s,38d13m58.9458s,System('Kepler-1073'),"[Planet('Kepler-1073 b'), Planet('Kepler-1073 c')]",[],Warm Super-Earth,Warm Super-Earth,,,,,,,,Kepler-1073,Flags(),System('Kepler-1073'),1.0 R_s,,,,,
1358,,4002.0 K,-0.06,"['KOI-2057', 'KIC 9573685', '2MASS J18575437+4615092', 'Gaia DR2 2107240324132394496']",0.6 M_s,,,12.211,,12.876,12.073,,,,,252.64 pc,,284d28m35.6505s,46d15m09.2769s,System('Kepler-1074'),[Planet('Kepler-1074 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1074,Flags(),System('Kepler-1074'),0.57 R_s,,,,,
1359,,3959.0 K,-0.17,"['KOI-2058', 'KIC 10329835', '2MASS J19100028+4728093', 'Gaia DR2 2130861785267379456']",0.56 M_s,,,12.555,,13.217,12.415,,,,,293.617 pc,,287d30m04.1745s,47d28m09.2346s,System('Kepler-1075'),[Planet('Kepler-1075 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1075,Flags(),System('Kepler-1075'),0.54 R_s,,,,,
1360,,4868.0 K,-0.01,"['KOI-2059', 'KIC 12301181', '2MASS J19102162+5103380', 'Gaia DR2 2133011635437118464']",0.79 M_s,,14.34,10.791,,11.305,10.664,13.17,,,,,,287d35m24.7275s,51d03m38.098s,System('Kepler-1076'),[Planet('Kepler-1076 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1076,Flags(),System('Kepler-1076'),0.74 R_s,,,,,
1361,,5816.0 K,0.03,"['KOI-2062', 'KIC 6774880', '2MASS J19240807+4216042', 'Gaia DR2 2101930164010053120']",1.02 M_s,,,13.481,,13.83,13.496,,,,,1137.01 pc,,291d02m01.0935s,42d16m04.3074s,System('Kepler-1077'),[Planet('Kepler-1077 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1077,Flags(),System('Kepler-1077'),1.02 R_s,,,,,
1362,,5612.0 K,-0.01,"['KOI-2063', 'KIC 7449541', '2MASS J19324814+4303001', 'Gaia DR2 2077837390345483904']",0.94 M_s,,,,,,,,,,,,,293d12m02.043s,43d03m00.1425s,System('Kepler-1078'),[Planet('Kepler-1078 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1078,Flags(timated magV'),System('Kepler-1078'),0.92 R_s,,,,,
1363,,5758.0 K,0.21,"['KOI-2067', 'KIC 9304101', '2MASS J19581187+4546111']",1.08 M_s,,,,,,,,,,,,,299d32m58.251s,45d46m11.0661s,System('Kepler-1079'),[Planet('Kepler-1079 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1079,Flags(timated magV'),System('Kepler-1079'),1.36 R_s,,,,,
1364,,5851.0 K,0.27,"['KOI-117', 'KIC 10875245', '2MASS J19480677+4812309', 'Gaia DR2 2086625752425381632']",1.183 M_s,,,11.114,,11.392,11.06,,,,,512.66 pc,,297d01m41.6025s,48d12m30.9618s,System('Kepler-107'),"[Planet('Kepler-107 e'), Planet('Kepler-107 c'), Planet('Kepler-107 b'), Planet('Kepler-107 d')]",[],Warm Neptune,Warm Super-Earth,Warm Super-Earth,Warm Super-Earth,,,,,,Kepler-107,Flags(),System('Kepler-107'),1.411 R_s,,,,,
1365,,5956.0 K,0.09,"['KOI-2069', 'KIC 11360571', '2MASS J19455148+4910584', 'Gaia DR2 2086818579276362624']",1.1 M_s,,,,,,,,,,,1440.09 pc,,296d27m52.203s,49d10m58.4601s,System('Kepler-1080'),[Planet('Kepler-1080 b')],[],Cold Neptune,,,,,,,,,Kepler-1080,Flags(),System('Kepler-1080'),1.16 R_s,,,,,
1366,,5345.0 K,0.01,"['KOI-2071', 'KIC 6035124', '2MASS J19174668+4119039', 'Gaia DR2 2101476065707700480']",0.88 M_s,,,,,,,,,,,425.369 pc,,289d26m40.395s,41d19m03.9773s,System('Kepler-1081'),[Planet('Kepler-1081 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1081,Flags(),System('Kepler-1081'),0.84 R_s,,,,,
1367,,5923.0 K,-0.06,"['KOI-2072', 'KIC 12058147', '2MASS J19172608+5035545', 'Gaia DR2 2133127363335546112']",1.03 M_s,,,,,,,,,,,755.687 pc,,289d21m31.314s,50d35m54.5474s,System('Kepler-1082'),[Planet('Kepler-1082 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1082,Flags(),System('Kepler-1082'),1.14 R_s,,,,,
1368,,5049.0 K,-0.02,"['KOI-2074', 'KIC 8866137', '2MASS J18523886+4511539', 'Gaia DR2 2106904698207543936']",0.81 M_s,,,,,,,,,,,926.269 pc,,283d09m42.852s,45d11m53.9173s,System('Kepler-1083'),[Planet('Kepler-1083 b')],[],Cold Neptune,,,,,,,,,Kepler-1083,Flags(),System('Kepler-1083'),0.77 R_s,,,,,
1369,,6113.0 K,-0.02,"['KOI-2075', 'KIC 10857519', '2MASS J19202447+4815040', 'Gaia DR2 2129464546506876928', 'TYC 3547-1121-1']",1.12 M_s,,,,,,,,,,,410.24 pc,,290d06m07.11s,48d15m04.0828s,System('Kepler-1084'),[Planet('Kepler-1084 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1084,Flags(),System('Kepler-1084'),1.28 R_s,,,,,
1370,,6000.0 K,0.08,[],1.11 M_s,,,13.914,,14.2,13.891,,,,,1518.0 pc,,287d28m45s,46d08m28s,System('Kepler-1085'),"[Planet('Kepler-1085 b'), Planet('Kepler-1085 c')]",[],Cold Jupiter,Cold Neptune,,,,,,,,Kepler-1085,Flags(),System('Kepler-1085'),1.14 R_s,,,,,
1371,,4350.0 K,0.06,"['KOI-2078', 'KIC 9351316', '2MASS J19410027+4550346', 'Gaia DR2 2080018374737161984']",0.7 M_s,,,,,,,,,,,472.277 pc,,295d15m04.1925s,45d50m34.6867s,System('Kepler-1086'),"[Planet('Kepler-1086 b'), Planet('Kepler-1086 c')]",[],Cold Super-Earth,Cold Super-Earth,,,,,,,,Kepler-1086,Flags(),System('Kepler-1086'),0.66 R_s,,,,,
1372,,5589.0 K,0.01,"['KOI-2079', 'KIC 9473078', '2MASS J19395491+4600203', 'Gaia DR2 2080070975195117312']",0.96 M_s,,,,,,,,,,,366.421 pc,,294d58m43.8105s,46d00m20.3486s,System('Kepler-1087'),[Planet('Kepler-1087 b')],[],Hot Super-Earth,,,,,,,,,Kepler-1087,Flags(),System('Kepler-1087'),0.94 R_s,,,,,
1373,,5975.0 K,0.05,"['KOI-2087', 'KIC 6922710', '2MASS J18461474+4227018', 'Gaia DR2 2104727081069413376', 'TYC 3126-1937-1']",1.08 M_s,,12.07,10.478,,10.779,10.476,11.47,,,,282.917 pc,,281d33m41.2575s,42d27m01.775s,System('Kepler-1088'),[Planet('Kepler-1088 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1088,Flags(),System('Kepler-1088'),1.08 R_s,,,,,
1374,,3753.0 K,-0.09,"['KOI-2090', 'KIC 11348997', '2MASS J19242225+4911242', 'Gaia DR2 2129928884010551936']",0.52 M_s,,,12.63,,13.255,12.386,,,,,261.253 pc,,291d05m33.9135s,49d11m24.2504s,System('Kepler-1089'),[Planet('Kepler-1089 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1089,Flags(),System('Kepler-1089'),0.49 R_s,,,,,
1375,,,,"['KOI-119 A', 'KIC 9471974 A']",1.26 M_s,,,,,12.087,11.64,,,,,313.0 pc,,,,Binary('Kepler-108'),[],[],,,,,,,,,,Kepler-108 A,Flags(),System('Kepler-108'),1.45 R_s,,,,,
1376,,,,"['KOI-119 B', 'KIC 9471974 B']",0.96 M_s,,,,,12.287,11.84,,,,,313.0 pc,,,,Binary('Kepler-108'),"[Planet('Kepler-108 b'), Planet('Kepler-108 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,Kepler-108 B,Flags(lculated Temperature'),System('Kepler-108'),0.97 R_s,,,,,
1377,,5321.0 K,-0.04,"['KOI-2094', 'KIC 8505920', '2MASS J19423908+4431330', 'Gaia DR2 2079650828617180288']",0.86 M_s,,,,,,,,,,,879.43 pc,,295d39m46.362s,44d31m32.9373s,System('Kepler-1090'),[Planet('Kepler-1090 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1090,Flags(),System('Kepler-1090'),0.82 R_s,,,,,
1378,,5851.0 K,0.0,"['KOI-2095', 'KIC 7918992', '2MASS J19590851+4340147', 'Gaia DR2 2075987599477644672']",1.01 M_s,,,,,,,,,,,938.615 pc,,299d47m07.6245s,43d40m14.7021s,System('Kepler-1091'),[Planet('Kepler-1091 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1091,Flags(),System('Kepler-1091'),1.03 R_s,,,,,
1379,,5862.0 K,-0.09,"['KOI-2097', 'KIC 10158729', '2MASS J19505355+4706455', 'Gaia DR2 2086320878467532032']",0.99 M_s,,,,,,,,,,,1009.49 pc,,297d43m23.3625s,47d06m45.5336s,System('Kepler-1092'),[Planet('Kepler-1092 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1092,Flags(),System('Kepler-1092'),1.0 R_s,,,,,
1380,,6166.0 K,-0.01,"['KOI-2098', 'KIC 6105462', '2MASS J18595472+4125125', 'Gaia DR2 2104037962156847744']",1.13 M_s,,,,,,,,,,,1107.05 pc,,284d58m40.7865s,41d25m12.6877s,System('Kepler-1093'),"[Planet('Kepler-1093 b'), Planet('Kepler-1093 c')]",[],Cold Super-Earth,Cold Super-Earth,,,,,,,,Kepler-1093,Flags(),System('Kepler-1093'),1.2 R_s,,,,,
1381,,6112.0 K,0.06,"['KOI-2099', 'KIC 3120355', '2MASS J19291230+3816013', 'Gaia DR2 2051937019565051520']",1.14 M_s,,,,,,,,,,,1338.33 pc,,292d18m04.518s,38d16m01.2783s,System('Kepler-1094'),[Planet('Kepler-1094 b')],[],Cold Neptune,,,,,,,,,Kepler-1094,Flags(),System('Kepler-1094'),1.21 R_s,,,,,
1382,,5658.0 K,-0.09,"['KOI-2100', 'KIC 6047072', '2MASS J19330298+4121544', 'Gaia DR2 2077580345142027136']",0.94 M_s,,,,,,,,,,,810.898 pc,,293d15m44.919s,41d21m54.2746s,System('Kepler-1095'),[Planet('Kepler-1095 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1095,Flags(),System('Kepler-1095'),0.92 R_s,,,,,
1383,,4306.0 K,-0.1,"['KOI-2101', 'KIC 9411412', '2MASS J19385025+4558102', 'Gaia DR2 2080058266393766656']",0.66 M_s,,,,,,,,,,,382.088 pc,,294d42m33.7665s,45d58m10.1915s,System('Kepler-1096'),[Planet('Kepler-1096 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1096,Flags(),System('Kepler-1096'),0.63 R_s,,,,,
1384,,5211.0 K,-0.11,"['KOI-2102', 'KIC 7008211', '2MASS J18462259+4235470', 'Gaia DR2 2104822188824798848']",0.82 M_s,,,,,,,,,,,734.862 pc,,281d35m38.8875s,42d35m47.0628s,System('Kepler-1097'),[Planet('Kepler-1097 b')],[],Cold Neptune,,,,,,,,,Kepler-1097,Flags(),System('Kepler-1097'),0.79 R_s,,,,,
1385,,5794.0 K,-0.02,"['KOI-2103', 'KIC 7620413', '2MASS J19420064+4313580', 'Gaia DR2 2078019187720711424']",0.99 M_s,,,13.101,,13.479,13.07,,,,,1081.43 pc,,295d30m09.669s,43d13m58.0073s,System('Kepler-1098'),[Planet('Kepler-1098 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1098,Flags(),System('Kepler-1098'),0.99 R_s,,,,,
1386,,5837.0 K,-0.02,"['KOI-2104', 'KIC 10854546', '2MASS J19145999+4816378', 'Gaia DR2 2130969503047357952']",1.01 M_s,,,13.728,,14.097,13.697,,,,,1053.52 pc,,288d44m58.5s,48d16m37.8189s,System('Kepler-1099'),[Planet('Kepler-1099 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1099,Flags(),System('Kepler-1099'),1.0 R_s,,,,,
1387,,5952.0 K,-0.08,"['KOI-123', 'KIC 5094751', 'TYC 3138-1820-1', '2MASS J19213425+4017055', 'Gaia DR2 2101175933393051008']",1.04 M_s,,12.82,11.046,,11.314,11.001,12.93,,,,468.1 pc,,290d23m33.8025s,40d17m05.4976s,System('Kepler-109'),"[Planet('Kepler-109 b'), Planet('Kepler-109 c')]",[],Warm Super-Earth,Warm Jupiter,,,,,,,,Kepler-109,Flags(),System('Kepler-109'),1.32 R_s,5.73 Gyr,,,,
1388,G,5643.0 K,-0.15,"['KOI-72', 'KIC 11904151', '2MASS J19024305+5014286', 'Gaia DR2 2132155017099178624']",0.91 M_s,,,9.563,,9.889,9.496,10.96,,,,173.0 pc,,285d40m45.918s,50d14m28.7007s,System('Kepler-10'),"[Planet('Kepler-10 b'), Planet('Kepler-10 c'), Planet('KOI-72.X')]",[],Hot Super-Earth,Cold Super-Earth,Cold Super-Earth,,,,,,,Kepler-10,Flags(),System('Kepler-10'),1.065 R_s,10.6 Gyr,,,,
1389,,6247.0 K,0.05,"['KOI-2105', 'KIC 8165946', '2MASS J19272912+4405145', 'Gaia DR2 2126163675162475136']",1.21 M_s,,,12.493,,12.761,12.456,,,,,707.714 pc,,291d52m16.809s,44d05m14.5824s,System('Kepler-1100'),[Planet('Kepler-1100 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1100,Flags(),System('Kepler-1100'),1.34 R_s,,,,,
1390,,5614.0 K,-0.04,"['KOI-2107', 'KIC 9225395', '2MASS J19381665+4540165', 'Gaia DR2 2080048680026646912']",0.94 M_s,,,13.422,,13.793,13.314,,,,,758.438 pc,,294d34m09.708s,45d40m16.4853s,System('Kepler-1101'),[Planet('Kepler-1101 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1101,Flags(),System('Kepler-1101'),0.91 R_s,,,,,
1391,,5724.0 K,-0.08,"['KOI-2108', 'KIC 10709622', '2MASS J18451741+4803594', 'Gaia DR2 2119646801021958272']",0.96 M_s,,,13.48,,13.838,13.38,,,,,1292.49 pc,,281d19m21.198s,48d03m59.4233s,System('Kepler-1102'),[Planet('Kepler-1102 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1102,Flags(),System('Kepler-1102'),0.94 R_s,,,,,
1392,,6092.0 K,-0.01,"['KOI-2109', 'KIC 11499228', '2MASS J19093170+4927086', 'Gaia DR2 2132808608042844160']",1.11 M_s,,,12.78,,13.094,12.731,,,,,1385.23 pc,,287d22m55.635s,49d27m08.6228s,System('Kepler-1103'),[Planet('Kepler-1103 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1103,Flags(),System('Kepler-1103'),1.15 R_s,,,,,
1393,,6417.0 K,0.13,"['KOI-2110', 'KIC 11460462', '2MASS J19375245+4919516', 'Gaia DR2 2135002576119495936']",1.3 M_s,,,11.012,,11.215,10.971,,,,,538.503 pc,,294d28m06.6885s,49d19m51.6892s,System('Kepler-1104'),[Planet('Kepler-1104 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1104,Flags(),System('Kepler-1104'),1.41 R_s,,,,,
1394,,4299.0 K,0.28,"['KOI-2114', 'KIC 6921944', '2MASS J18442682+4227176', 'Gaia DR2 2116733198288204288']",0.71 M_s,,,12.513,,13.147,12.371,,,,,320.935 pc,,281d06m42.3615s,42d27m17.708s,System('Kepler-1105'),[Planet('Kepler-1105 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1105,Flags(),System('Kepler-1105'),0.68 R_s,,,,,
1395,,6104.0 K,0.0,"['KOI-2116', 'KIC 8164012', '2MASS J19243484+4403451', 'Gaia DR2 2126198756455621376']",1.11 M_s,,,13.293,,13.6,13.234,,,,,1125.87 pc,,291d08m42.654s,44d03m45.128s,System('Kepler-1106'),[Planet('Kepler-1106 b')],[],Hot Super-Earth,,,,,,,,,Kepler-1106,Flags(),System('Kepler-1106'),1.17 R_s,,,,,
1396,,5268.0 K,0.01,"['KOI-2119', 'KIC 4055304', '2MASS J19241198+3908300', 'Gaia DR2 2052965337812644352']",0.86 M_s,,,12.24,,12.683,12.152,,,,,434.122 pc,,291d02m59.688s,39d08m29.939s,System('Kepler-1107'),[Planet('Kepler-1107 b')],[],Hot Super-Earth,,,,,,,,,Kepler-1107,Flags(),System('Kepler-1107'),0.82 R_s,,,,,
1397,,5406.0 K,-0.09,"['KOI-2121', 'KIC 9415108', '2MASS J19441016+4559065', 'Gaia DR2 2080390353264322944']",0.88 M_s,,,,,,,,,,,784.806 pc,,296d02m32.412s,45d59m06.5549s,System('Kepler-1108'),[Planet('Kepler-1108 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1108,Flags(),System('Kepler-1108'),0.84 R_s,,,,,
1398,,5893.0 K,0.04,"['KOI-2122', 'KIC 4262581', '2MASS J19263509+3923478', 'Gaia DR2 2052983514114840192']",1.05 M_s,,,,,,,,,,,698.763 pc,,291d38m46.4535s,39d23m47.8631s,System('Kepler-1109'),[Planet('Kepler-1109 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1109,Flags(),System('Kepler-1109'),1.06 R_s,,,,,
1399,,5960.0 K,,"['KOI-124', 'KIC 11086270', '2MASS J19314299+4836101', 'Gaia DR2 2128925579652377472']",1.067 M_s,,,11.658,,11.919,11.623,,,,,532.42 pc,,292d55m44.88s,48d36m10.1243s,System('Kepler-110'),"[Planet('Kepler-110 b'), Planet('Kepler-110 c')]",[],Warm Super-Earth,Cold Super-Earth,,,,,,,,Kepler-110,Flags(),System('Kepler-110'),1.149 R_s,,,,,
1400,,4781.0 K,-0.16,"['KOI-2126', 'KIC 3546060', '2MASS J19271392+3837217', 'Gaia DR2 2052691044021500032']",0.73 M_s,,,13.748,,14.319,13.604,,,,,741.84 pc,,291d48m28.914s,38d37m21.7748s,System('Kepler-1110'),[Planet('Kepler-1110 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1110,Flags(),System('Kepler-1110'),0.7 R_s,,,,,
1401,,6077.0 K,0.02,"['KOI-2129', 'KIC 9351920', '2MASS J19415120+4548458', 'Gaia DR2 2080016106994504704']",1.1 M_s,,,13.293,,13.6,13.24,,,,,862.143 pc,,295d27m48.213s,45d48m45.9351s,System('Kepler-1111'),[Planet('Kepler-1111 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1111,Flags(),System('Kepler-1111'),1.15 R_s,,,,,
1402,,6496.0 K,0.04,"['KOI-2131', 'KIC 10549023', '2MASS J19475251+4745053', 'Gaia DR2 2086586273085111808']",1.34 M_s,,,13.454,,13.688,13.397,,,,,1754.39 pc,,296d58m07.6515s,47d45m05.3357s,System('Kepler-1112'),[Planet('Kepler-1112 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1112,Flags(),System('Kepler-1112'),1.54 R_s,,,,,
1403,,5931.0 K,0.18,"['KOI-2134', 'KIC 4254466', '2MASS J19173761+3920198', 'Gaia DR2 2101006883479557504']",1.12 M_s,,,13.292,,13.55,13.19,,,,,1107.67 pc,,289d24m24.156s,39d20m19.7691s,System('Kepler-1113'),[Planet('Kepler-1113 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1113,Flags(),System('Kepler-1113'),1.17 R_s,,,,,
1404,,5374.0 K,-0.08,"['KOI-2137', 'KIC 9364609', '2MASS J19565686+4550049', 'Gaia DR2 2085258750237006208']",0.87 M_s,,,12.04,,12.438,11.944,,,,,423.513 pc,,299d14m13.029s,45d50m04.8992s,System('Kepler-1114'),[Planet('Kepler-1114 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1114,Flags(),System('Kepler-1114'),0.83 R_s,,,,,
1405,,8480.0 K,-0.51,"['KOI-2138', 'KIC 5022828', '2MASS J19395802+4008398', 'Gaia DR2 2076483616656410496', 'TYC 3139-1275-1']",1.6 M_s,,11.9,11.555,,11.566,11.512,11.7,,,,1011.12 pc,,294d59m30.387s,40d08m39.8235s,System('Kepler-1115'),[Planet('Kepler-1115 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1115,Flags(),System('Kepler-1115'),1.73 R_s,,,,,
1406,,5641.0 K,0.01,"['KOI-2140', 'KIC 8233702', '2MASS J19274407+4406558', 'Gaia DR2 2126166733179219072']",0.95 M_s,,,13.646,,13.974,13.482,,,,,1038.21 pc,,291d56m01.089s,44d06m55.9042s,System('Kepler-1116'),[Planet('Kepler-1116 b')],[],Cold Super-Earth,,,,,,,,,Kepler-1116,Flags(),System('Kepler-1116'),0.93 R_s,,,,,
1407,,5612.0 K,0.03,"['KOI-2143', 'KIC 11403339', '2MASS J19282034+4914149', 'Gaia DR2 2129755573491351040']",0.95 M_s,,,12.512,,12.867,12.463,,,,,577.934 pc,,292d05m05.247s,49d14m14.855s,System('Kepler-1117'),[Planet('Kepler-1117 b')],[],Warm Super-Earth,,,,,,,,,Kepler-1117,Flags(),System('Kepler-1117'),0.93 R_s,,,,,
